
0,142
1,28
2,137
3,46
4,6
5,71
6,121
7,89
8,32
9,124

0,157
1,63
2,8
3,77
4,55
5,136
6,128
7,30
8,70
9,72

0,157
1,43
2,52
3,163
4,93
5,120
6,61
7,37
8,44
9,24

0,130
1,85
2,121
3,43
4,79
5,166
6,88
7,3
8,63
9,18

0,108
1,50
2,108
3,84
4,110
5,40
6,23
7,140
8,40
9,92

0,28
1,78
2,48
3,32
4,118
5,108
6,239
7,79
8,53
9,14

0,56
1,65
2,107
3,62
4,20
5,17
6,246
7,68
8,136
9,19

0,56
1,40
2,58
3,28
4,136
5,79
6,94
7,195
8,42
9,69

0,76
1,104
2,128
3,64
4,24
5,41
6,171
7,76
8,88
9,27

0,143
1,50
2,24
3,88
4,119
5,56
6,23
7,67
8,28
9,200

0,100
1,122
2,53
3,51
4,93
5,10
6,152
7,68
8,27
9,120

0,70
1,168
2,152
3,8
4,27
5,57
6,16
7,74
8,3
9,220

0,120
1,45
2,61
3,101
4,193
5,39
6,64
7,62
8,50
9,60

0,193
1,46
2,135
3,90
4,40
5,37
6,25
7,124
8,38
9,67

0,123
1,91
2,97
3,94
4,37
5,148
6,104
7,58
8,34
9,9

0,69
1,82
2,109
3,57
4,117
5,12
6,125
7,109
8,45
9,69

0,129
1,46
2,135
3,81
4,73
5,15
6,105
7,97
8,44
9,71

0,185
1,90
2,24
3,6
4,103
5,47
6,94
7,138
8,9
9,100

0,85
1,114
2,50
3,34
4,72
5,63
6,111
7,139
8,64
9,65

0,110
1,28
2,28
3,97
4,106
5,41
6,138
7,32
8,65
9,149

0,172
1,143
2,28
3,118
4,31
5,44
6,28
7,55
8,164
9,12

0,124
1,102
2,63
3,140
4,27
5,100
7,96
8,80
9,66

0,145
1,35
2,49
3,141
4,58
5,57
6,80
7,5
8,143
9,82

0,64
1,84
2,132
3,93
4,88
5,20
6,32
7,60
8,69
9,154

0,91
1,60
2,81
3,12
4,76
5,82
6,96
7,100
8,48
9,149

0,56
1,170
2,86
3,92
4,11
5,134
6,16
7,103
8,122
9,6

0,127
1,85
2,72
3,74
4,29
5,170
6,17
7,60
8,24
9,138

0,13
1,118
2,116
3,44
4,38
5,149
6,152
7,56
8,74
9,36

0,72
1,48
2,79
3,60
4,75
5,132
6,114
7,65
8,28
9,123

0,176
2,30
3,46
4,200
5,65
6,54
7,153
8,14
9,58

0,63
1,54
2,120
3,26
4,18
5,154
6,73
7,167
8,39
9,83

0,66
1,54
2,120
3,73
4,69
5,36
6,40
7,148
8,150
9,39

0,51
1,95
2,130
3,42
4,150
5,105
6,97
7,9
8,93
9,24

0,48
1,103
2,104
3,35
4,82
5,156
6,131
7,44
8,64
9,29

0,54
1,44
2,73
3,32
4,46
5,67
6,213
7,57
8,33
9,176

0,112
1,163
2,65
3,76
4,60
5,83
6,54
7,72
8,14
9,96

0,80
1,316
2,21
3,47
4,44
5,12
6,32
7,7
8,24
9,214

0,216
1,132
2,9
3,7
4,40
5,75
6,192
7,13
8,24
9,90

0,72
1,58
2,115
3,20
4,15
5,27
6,105
7,255
8,44
9,85

0,105
1,116
2,11
3,29
4,21
5,76
6,144
7,125
8,44
9,124

0,36
1,100
2,42
3,83
4,112
5,55
6,92
7,50
8,52
9,174

0,109
1,140
2,73
3,62
4,63
5,17
6,82
7,47
8,107
9,96

0,54
1,95
2,64
3,188
4,99
5,28
6,23
7,163
8,56
9,27

0,30
1,120
2,27
3,140
4,230
5,12
6,13
7,93
8,44
9,86

0,33
1,25
2,46
3,285
4,56
5,20
6,65
7,98
8,36
9,132

0,36
1,163
2,32
3,56
4,149
5,52
6,108
7,35
8,128
9,38

0,24
1,15
2,322
3,100
4,9
5,10
6,100
7,64
8,143
9,9

0,112
1,53
2,39
3,24
4,64
5,118
6,78
7,89
8,87
9,132

0,60
1,47
2,116
3,88
4,52
5,18
6,76
7,134
8,82
9,123

0,107
1,41
2,117
3,44
4,38
5,146
6,150
7,28
8,51
9,74

0,32
1,106
2,32
3,205
4,49
5,36
6,6
7,53
8,175
9,100

0,232
1,13
2,60
3,53
4,52
5,27
6,35
7,36
8,112
9,176

0,53
1,84
2,36
3,129
4,94
5,72
6,78
7,162
8,20
9,67

0,132
1,60
2,70
3,160
4,82
5,26
6,40
7,80
8,84
9,61

0,79
1,222
2,40
3,134
4,25
5,60
6,58
7,124
8,32
9,22

0,55
1,168
2,123
3,142
4,34
5,24
6,47
7,56
8,9
9,139

0,167
1,117
2,42
3,78
4,42
5,36
6,113
7,70
8,89
9,42

0,95
1,27
2,106
3,84
4,49
5,27
6,59
7,27
8,200
9,124

0,106
1,17
2,111
3,147
4,180
5,92
6,25
7,78
8,11
9,28

0,8
1,9
2,196
3,14
4,24
5,117
6,169
7,59
8,110
9,90

