Valor,Contagem
0,53
1,32
2,108
3,56
4,109
5,118
6,112
7,65
8,96
9,46
Valor,Contagem
0,61
1,112
2,173
3,37
4,79
5,80
6,64
7,39
8,68
9,84
Valor,Contagem
0,110
1,152
2,39
3,101
4,75
5,58
6,45
7,101
8,64
9,50
Valor,Contagem
0,162
1,72
2,82
3,68
4,60
5,122
6,40
7,52
8,54
9,84
Valor,Contagem
0,86
1,25
2,89
3,24
4,74
5,63
6,149
7,115
8,90
9,80
Valor,Contagem
0,167
1,84
2,67
3,76
4,44
5,96
6,43
7,80
8,40
9,100
Valor,Contagem
0,96
1,80
2,124
3,56
4,93
5,72
6,36
7,72
8,74
9,93
Valor,Contagem
0,126
1,103
2,61
3,52
4,70
5,70
6,118
7,40
8,74
9,82
Valor,Contagem
0,53
1,54
2,91
3,68
4,64
5,36
6,186
7,75
8,63
9,107
Valor,Contagem
0,80
1,54
2,60
3,64
4,112
5,88
6,147
7,132
8,28
9,29
Valor,Contagem
0,70
1,16
2,106
3,70
4,84
5,79
6,103
7,76
8,127
9,65
Valor,Contagem
0,47
1,150
2,79
3,28
4,51
5,61
6,91
7,172
8,78
9,40
Valor,Contagem
0,68
1,132
2,80
3,67
4,77
5,53
6,105
7,56
8,69
9,89
Valor,Contagem
0,80
1,86
2,56
3,52
4,133
5,132
6,76
7,42
8,100
9,38
Valor,Contagem
0,74
1,73
2,174
3,76
4,76
5,92
6,78
7,90
8,27
9,36
Valor,Contagem
0,27
1,101
2,140
3,148
4,47
5,49
6,76
7,76
8,43
9,90
Valor,Contagem
0,84
1,96
2,24
3,108
4,133
5,49
6,51
7,78
8,80
9,92
Valor,Contagem
0,95
1,74
2,59
3,108
4,133
5,105
6,68
7,84
8,42
9,28
Valor,Contagem
0,91
1,99
2,65
3,80
4,89
5,85
6,117
7,44
8,58
9,67
Valor,Contagem
0,124
1,80
2,51
3,87
4,72
5,108
6,93
7,73
8,62
9,47
Valor,Contagem
0,53
1,163
2,95
3,68
4,116
5,40
6,84
7,34
8,48
9,96
Valor,Contagem
0,104
1,155
2,69
3,47
4,100
5,104
6,45
7,32
8,80
9,60
Valor,Contagem
0,93
1,54
2,20
3,79
4,136
5,36
6,143
7,104
8,28
9,102
Valor,Contagem
0,49
1,52
2,47
3,60
4,100
5,66
6,124
7,68
8,80
9,150
Valor,Contagem
0,82
1,41
2,79
3,100
4,172
5,38
6,83
7,31
8,48
9,121
Valor,Contagem
0,39
1,62
2,58
3,116
4,55
5,76
6,93
7,144
8,37
9,115
Valor,Contagem
0,46
1,88
2,35
3,72
4,138
5,104
6,124
7,90
8,50
9,49
Valor,Contagem
0,83
1,35
2,84
3,76
4,68
5,69
6,73
7,96
8,148
9,64
Valor,Contagem
0,70
1,57
2,53
3,64
4,121
5,22
6,104
7,107
8,98
9,100
Valor,Contagem
0,73
1,100
2,90
3,58
4,109
5,72
6,151
7,41
8,26
9,76
Valor,Contagem
0,23
1,80
2,82
3,65
4,100
5,57
6,75
7,172
8,81
9,61
Valor,Contagem
0,96
1,56
2,84
3,193
4,48
5,44
6,69
7,74
8,70
9,61
Valor,Contagem
0,33
1,47
2,110
3,116
4,93
5,26
6,36
7,104
8,124
9,107
Valor,Contagem
0,21
1,94
2,84
3,45
4,97
5,67
6,110
7,69
8,86
9,122
Valor,Contagem
0,31
1,72
2,77
3,62
4,112
5,118
6,70
7,70
8,96
9,87
Valor,Contagem
0,221
1,74
2,80
3,34
4,60
5,44
6,74
