0,376,19
1,4,19
2,4,19
3,17,19
4,22,19
6,36,19
7,43,19
8,1,19
9,294,19
0,32,0
1,7,0
2,16,0
3,86,0
4,57,0
5,119,0
6,52,0
7,179,0
8,241,0
9,7,0
0,44,9
1,110,9
2,208,9
3,59,9
5,191,9
6,32,9
7,60,9
8,78,9
9,14,9
0,289,10
1,240,10
2,10,10
3,13,10
4,1,10
5,4,10
6,22,10
7,61,10
8,154,10
0,271,14
1,57,14
2,23,14
3,16,14
4,8,14
5,248,14
7,2,14
8,47,14
9,124,14
0,63,19
1,107,19
3,187,19
4,266,19
5,52,19
6,59,19
7,8,19
9,55,19
0,92,6
1,231,6
2,140,6
3,26,6
4,26,6
5,16,6
6,48,6
7,4,6
8,71,6
9,143,6
0,151,18
1,27,18
2,32,18
3,186,18
4,20,18
7,41,18
8,27,18
9,312,18
0,4,8
1,38,8
2,156,8
3,211,8
4,59,8
5,44,8
6,214,8
7,6,8
8,5,8
9,60,8
0,277,4
1,4,4
2,201,4
3,5,4
4,12,4
5,38,4
6,22,4
7,104,4
8,94,4
9,38,4
0,120,12
1,38,12
2,27,12
3,120,12
4,16,12
5,93,12
6,176,12
7,60,12
8,43,12
9,103,12
0,52,17
1,72,17
2,2,17
4,108,17
5,170,17
6,263,17
7,4,17
8,26,17
9,100,17
0,139,3
1,3,3
2,215,3
4,4,3
5,151,3
6,47,3
7,41,3
8,70,3
9,128,3
0,40,7
1,44,7
2,49,7
3,33,7
4,232,7
6,12,7
7,45,7
8,293,7
9,49,7
0,64,2
1,84,2
2,16,2
3,53,2
4,432,2
6,3,2
7,8,2
8,8,2
9,129,2
0,204,13
1,10,13
2,32,13
3,107,13
4,364,13
5,36,13
7,35,13
8,3,13
9,4,13
0,60,1
1,2,1
2,118,1
3,247,1
4,184,1
5,100,1
6,56,1
9,30,1
0,248,15
1,48,15
2,255,15
3,9,15
4,90,15
5,2,15
6,9,15
7,41,15
8,39,15
9,55,15
0,40,5
1,13,5
2,15,5
3,348,5
4,35,5
5,112,5
6,33,5
7,26,5
8,14,5
9,160,5
1,2,16
3,29,16
4,31,16
5,34,16
6,247,16
7,30,16
8,151,16
9,273,16
0,69,11
1,2,11
2,40,11
3,3,11
4,16,11
5,139,11
6,77,11
7,44,11
8,396,11
9,8,11
0,65,10
1,8,10
