Valor,Contagem
0,68
1,52
2,56
3,64
4,126
5,132
6,76
7,61
8,74
9,88
Valor,Contagem
0,104
1,42
2,96
3,97
4,52
5,123
6,77
7,110
8,58
9,38
Valor,Contagem
0,96
1,55
2,73
3,165
4,107
5,75
6,64
7,32
8,80
9,49
Valor,Contagem
0,49
1,87
2,68
3,84
4,80
5,83
6,31
7,86
8,116
9,112
Valor,Contagem
0,94
1,69
2,67
3,87
4,90
5,38
6,96
7,80
8,88
9,88
Valor,Contagem
0,73
1,64
2,79
3,119
4,44
5,78
6,108
7,56
8,78
9,97
Valor,Contagem
0,67
1,114
2,124
3,66
4,55
5,49
6,88
7,94
8,61
9,77
Valor,Contagem
0,65
1,104
2,56
3,96
4,117
5,72
6,108
7,64
8,53
9,59
Valor,Contagem
0,60
1,90
2,54
3,42
4,86
5,72
6,136
7,85
8,60
9,111
Valor,Contagem
0,72
1,77
2,102
3,109
4,52
5,69
6,70
7,61
8,96
9,87
Valor,Contagem
0,35
1,97
2,79
3,113
4,49
5,103
6,45
7,128
8,73
9,74
Valor,Contagem
0,98
1,96
2,43
3,104
4,76
5,103
6,68
7,56
8,96
9,57
Valor,Contagem
0,106
1,48
2,120
3,72
4,92
5,99
6,89
7,39
8,68
9,63
Valor,Contagem
0,112
1,88
2,148
3,21
4,60
5,84
6,69
7,86
8,54
9,74
Valor,Contagem
0,108
1,140
2,48
3,82
4,47
5,93
6,120
7,61
8,57
9,40
Valor,Contagem
0,136
1,67
2,70
3,52
4,95
5,78
6,91
7,71
8,46
9,91
Valor,Contagem
0,62
1,115
2,82
3,59
4,102
5,124
6,102
7,52
8,61
9,37
Valor,Contagem
0,48
1,29
2,136
3,120
4,121
5,88
6,39
7,59
8,76
9,80
Valor,Contagem
0,48
1,106
2,112
3,81
4,87
5,70
6,72
7,100
8,91
9,29
Valor,Contagem
0,160
1,77
2,35
3,120
4,88
5,72
6,27
7,77
8,52
9,88
Valor,Contagem
0,50
1,53
2,116
3,117
4,70
5,81
6,51
7,76
8,68
9,113
Valor,Contagem
0,95
1,83
2,116
3,80
4,68
5,72
6,76
7,93
8,42
9,70
Valor,Contagem
0,87
1,36
2,101
3,99
4,128
5,97
6,49
7,105
8,55
9,38
Valor,Contagem
0,88
1,84
2,56
3,94
4,138
5,95
6,86
7,23
8,44
9,89
Valor,Contagem
0,82
1,133
2,53
3,64
4,82
5,96
6,35
7,88
8,63
9,101
Valor,Contagem
0,64
1,101
2,100
3,71
4,108
5,76
6,79
7,81
8,48
9,68
Valor,Contagem
0,38
1,55
2,115
3,73
4,95
5,86
6,101
7,68
8,106
9,59
Valor,Contagem
0,68
1,67
2,112
3,80
4,108
5,70
6,58
7,105
8,75
9,53
Valor,Contagem
0,79
1,63
2,77
3,114
4,79
5,70
6,84
7,100
8,51
9,80
Valor,Contagem
0,102
1,101
2,95
3,76
4,71
5,116
6,44
7,59
8,74
9,59
Valor,Contagem
0,68
1,54
2,92
3,82
4,106
5,79
6,78
7,101
8,86
9,51
Valor,Contagem
0,108
1,34
2,80
3,96
4,76
5,52
6,90
7,116
8,60
9,84
Valor,Contagem
0,60
1,88
2,49
3,100
4,65
5,96
6,151
7,32
8,59
9,96
Valor,Contagem
0,111
1,87
2,55
3,128
4,74
5,76
6,101
7,19
8,89
9,56
Valor,Contagem
0,67
1,48
2,56
3,104
4,61
5,96
6,96
7,75
8,124
9,70
Valor,Contagem
0,68
1,67
2,66
3,79
4,68
5,128
6,89
7,73
8,96
9,63
Valor,Contagem
0,92
1,52
2,60
3,84
4,66
5,40
6,116
7,116
8,80
9,88
Valor,Contagem
