Valor,Contagem
0,24
1,116
2,29
3,108
4,40
5,96
6,126
7,58
8,113
9,84
Valor,Contagem
0,61
1,108
2,51
3,243
4,40
5,104
6,35
7,32
8,88
9,33
Valor,Contagem
0,45
1,32
2,105
3,62
4,214
5,164
6,9
7,98
8,48
9,18
Valor,Contagem
0,70
1,73
2,48
3,76
4,46
5,14
6,18
7,224
8,77
9,149
Valor,Contagem
0,107
1,85
2,75
3,39
4,168
5,35
6,25
7,89
8,54
9,120
Valor,Contagem
0,38
1,55
2,230
3,51
4,33
5,89
6,20
7,69
8,160
9,51
Valor,Contagem
0,22
1,78
2,87
3,102
4,96
5,55
6,40
7,100
8,101
9,115
Valor,Contagem
0,84
1,30
2,152
3,56
4,178
5,21
6,75
7,46
8,58
9,97
Valor,Contagem
0,60
1,80
2,144
3,96
4,216
5,17
6,45
7,27
8,61
9,52
Valor,Contagem
0,132
1,131
2,52
3,53
4,76
5,9
6,34
7,55
8,103
9,150
Valor,Contagem
0,118
1,29
2,135
3,4
4,89
5,124
6,60
7,64
8,161
9,11
Valor,Contagem
0,95
1,123
2,27
3,256
4,41
5,72
6,96
7,36
8,28
9,23
Valor,Contagem
0,17
1,80
2,187
3,140
4,156
5,56
6,48
7,4
8,22
9,86
Valor,Contagem
0,106
1,28
2,64
3,112
4,92
5,158
6,96
7,11
8,56
9,74
Valor,Contagem
0,54
1,89
2,64
3,39
4,84
5,178
6,30
7,41
8,210
9,7
Valor,Contagem
0,80
1,42
2,139
3,111
4,83
5,32
6,45
7,20
8,199
9,46
Valor,Contagem
0,126
1,38
2,49
3,200
4,80
5,56
6,56
7,107
8,76
9,8
Valor,Contagem
0,32
1,72
2,96
3,164
4,60
5,29
6,53
7,136
8,40
9,112
Valor,Contagem
0,22
1,38
2,214
3,171
4,63
5,8
6,29
7,20
8,160
9,71
Valor,Contagem
0,33
1,43
2,79
3,81
4,26
5,86
6,14
7,340
8,73
9,20
Valor,Contagem
0,91
1,23
2,92
3,73
4,150
5,140
6,16
7,56
8,144
9,12
Valor,Contagem
0,89
1,108
2,241
3,77
4,38
5,20
6,69
7,28
8,69
9,56
Valor,Contagem
0,71
1,44
2,104
3,88
4,93
5,16
6,98
7,105
8,128
9,48
Valor,Contagem
0,46
1,104
2,57
3,61
4,212
5,88
6,20
7,75
8,28
9,106
Valor,Contagem
0,163
1,99
2,68
3,113
4,21
5,15
6,77
7,134
8,30
9,76
Valor,Contagem
0,270
1,86
2,41
3,28
4,90
5,92
6,92
7,32
8,22
9,44
Valor,Contagem
0,102
1,71
2,41
3,119
4,41
5,109
6,45
7,80
8,46
9,141
Valor,Contagem
0,112
1,85
3,155
4,134
5,129
6,122
7,24
8,8
9,25
Valor,Contagem
0,127
1,30
2,72
3,63
4,102
5,69
6,208
7,6
8,105
9,14
Valor,Contagem
0,87
1,24
2,21
3,61
4,48
5,105
6,24
7,48
8,206
9,172
Valor,Contagem
0,83
1,9
2,108
3,62
4,40
5,196
6,130
7,74
8,73
9,22
Valor,Contagem
0,47
1,81
2,80
3,24
4,124
5,27
6,230
7,35
8,147
9,1
Valor,Contagem
0,40
1,99
2,4
3,45
4,47
5,175
6,40
7,128
8,20
9,197
Valor,Contagem
0,155
1,66
2,48
3,59
4,139
5,56
6,114
7,38
8,36
9,86
Valor,Contagem
0,71
1,128
2,49
3,61
4,71
5,138
6,124
7,28
8,72
9,54
Valor,Contagem
0,190
1,93
2,68
3,34
4,172
5,36
6,101
7,40
8,24
9,37
Valor,Contagem
0,20
1,52
2,52
3,166
4,106
5,5
6,50
7,202
8,60
9,83
Valor,Contagem
0,151
1,13
2,56
3,108
4,18
5,72
6,102
7,86
8,115
9,76
Valor,Contagem
0,85
1,43
2,100
3,65
4,66
5,99
6,51
7,151
8,15
9,121
Valor,Contagem
0,52
1,20
