Valor,Contagem
0,83
1,62
2,75
3,140
4,112
5,196
6,32
7,44
8,34
9,18
Valor,Contagem
0,92
1,16
2,122
3,44
4,96
5,101
6,7
7,96
8,62
9,160
Valor,Contagem
0,36
1,20
2,20
3,189
4,149
5,200
6,61
7,56
8,44
9,20
Valor,Contagem
0,54
1,86
2,204
3,43
4,88
5,49
6,40
7,48
8,123
9,61
Valor,Contagem
0,72
1,120
2,186
3,11
4,44
5,72
6,156
7,84
8,10
9,41
Valor,Contagem
0,174
1,76
2,179
3,88
4,96
5,78
6,20
7,17
8,61
9,6
Valor,Contagem
0,36
1,59
2,43
3,57
4,80
5,72
6,45
7,276
8,53
9,76
Valor,Contagem
0,72
1,50
2,86
3,161
4,82
5,162
6,12
7,101
8,28
9,42
Valor,Contagem
0,12
1,68
2,69
3,181
4,73
5,93
6,77
7,173
8,31
9,18
Valor,Contagem
0,78
1,57
2,100
3,144
4,37
5,12
6,40
7,100
8,192
9,36
Valor,Contagem
0,42
1,101
2,147
3,88
4,13
5,60
6,40
7,128
8,159
9,17
Valor,Contagem
0,70
1,72
2,40
3,9
4,96
5,120
6,68
7,176
8,54
9,91
Valor,Contagem
0,89
1,6
2,110
3,70
4,80
5,72
6,148
7,52
8,106
9,62
Valor,Contagem
0,52
1,20
2,124
3,97
4,120
5,100
6,29
7,104
8,60
9,91
Valor,Contagem
0,82
1,60
2,108
3,60
4,71
5,62
6,104
7,45
8,132
9,72
Valor,Contagem
0,154
1,124
2,128
3,30
4,29
5,44
6,92
7,42
8,48
9,105
Valor,Contagem
0,60
1,24
2,24
3,35
4,160
5,84
6,32
7,152
8,43
9,180
Valor,Contagem
0,96
1,202
2,48
3,23
4,64
5,67
6,102
7,119
8,54
9,22
Valor,Contagem
0,96
1,4
2,48
3,203
4,67
5,57
6,125
7,132
8,25
9,39
Valor,Contagem
0,104
1,31
2,17
3,57
4,38
5,120
6,106
7,73
8,177
9,72
Valor,Contagem
0,88
1,87
2,82
3,91
4,60
5,55
6,86
7,145
8,8
9,94
Valor,Contagem
0,125
1,56
2,83
3,43
4,123
5,31
6,84
7,39
8,129
9,84
Valor,Contagem
0,53
1,140
2,13
3,49
4,48
5,90
6,172
7,168
8,36
9,25
Valor,Contagem
0,23
1,114
2,72
3,12
4,40
5,121
6,96
7,25
8,129
9,163
Valor,Contagem
0,70
1,170
2,140
3,29
4,64
5,68
6,127
7,8
8,47
9,74
Valor,Contagem
0,181
1,36
2,18
3,52
4,64
5,54
6,64
7,62
8,109
9,156
Valor,Contagem
0,93
1,28
2,153
3,49
4,34
5,60
6,105
7,96
8,106
9,72
Valor,Contagem
0,110
1,65
2,72
3,72
4,129
5,23
6,56
7,56
8,64
9,148
Valor,Contagem
0,108
1,44
2,100
3,12
4,84
5,124
6,88
7,58
8,49
9,129
Valor,Contagem
0,68
1,102
2,40
3,74
4,102
5,160
6,73
7,16
8,46
9,115
Valor,Contagem
0,66
1,17
2,56
3,196
4,25
5,28
6,139
7,70
8,75
9,124
Valor,Contagem
0,168
1,72
2,35
3,10
4,60
5,25
6,128
7,89
8,68
9,142
Valor,Contagem
0,162
1,61
2,27
3,71
4,72
5,16
6,98
7,48
8,91
9,149
Valor,Contagem
0,64
1,110
2,64
3,19
4,33
5,46
6,22
7,112
8,127
9,199
Valor,Contagem
0,145
1,83
2,155
3,56
4,53
5,29
6,70
7,78
8,51
9,76
Valor,Contagem
0,89
1,19
2,201
3,92
4,29
5,62
6,106
7,61
8,32
9,104
Valor,Contagem
0,39
1,48
2,117
3,53
4,18
5,48
6,204
7,56
8,184
9,28
Valor,Contagem
0,65
1,80
2,55
3,44
4,120
5,37
6,152
7,59
8,124
9,60
Valor,Contagem
0,32
1,1
2,143
3,60
4,137
5,107
6,111
7,72
8,62
9,71
Valor,Contagem
0,90
1,92
2,94
3,118
4,65
5,16
6,106
7,48
8,92
9,75
Valor,Contagem
0,182
1,53
2,141
3,44
4,31
5,46
6,30
7,136
8,37
9,96
Valor,Contagem
0,74
1,119
2,57
3,14
4,63
5,35
6,78
7,123
8,100
9,133
Valor,Contagem
0,100
1,44
2,114
3,97
5,93
6,92
7,118
8,65
9,73
Valor,Contagem
0,18
1,68
2,28
3,22
4,116
5,138
6,92
7,44
8,87
9,183
Valor,Contagem
0,52
1,78
2,118
3,70
4,73
5,52
6,35
7,121
8,81
9,116
Valor,Contagem
0,40
1,156
2,21
3,43
4,76
5,20
6,92
7,152
8,110
9,88
Valor,Contagem
0,27
1,77
2,176
3,19
4,39
5,75
6,97
7,192
8,4
9,90
Valor,Contagem
0,60
1,14
2,146
3,130
4,11
5,77
6,139
7,60
8,88
9,72
Valor,Contagem
0,74
1,100
2,64
3,72
4,198
5,56
6,12
7,153
8,46
9,21
Valor,Contagem
0,84
1,94
2,48
3,33
4,92
5,108
6,120
7,68
8,124
9,24
Valor,Contagem
0,50
1,48
2,200
3,116
4,159
5,47
6,84
7,39
8,12
9,40
Valor,Contagem
0,103
1,116
2,24
3,100
4,141
5,106
6,120
7,22
8,51
9,14
Valor,Contagem
0,44
1,86
2,88
3,32
4,149
5,77
6,221
7,4
8,71
9,24
Valor,Contagem
0,106
1,76
2,12
3,72
4,70
5,146
6,84
7,95
8,84
9,50
Valor,Contagem
0,95
1,65
2,167
3,38
4,42
5,26
6,88
7,25
8,128
9,123
Valor,Contagem
0,67
1,75
2,118
3,58
4,23
5,5
6,32
7,89
8,195
9,135
Valor,Contagem
0,116
1,14
2,24
3,102
4,264
5,76
6,4
7,95
8,14
9,86
Valor,Contagem
0,20
1,65
2,41
3,84
4,34
5,57
6,35
7,140
8,197
9,124
Valor,Contagem
0,21
1,20
2,132
3,126
4,7
5,136
6,107
7,60
8,144
9,44
Valor,Contagem
0,71
1,109
2,87
3,40
4,40
5,29
6,70
7,90
8,224
9,35
Valor,Contagem
0,130
1,118
2,52
3,4
4,84
5,60
6,156
7,70
8,34
9,88
Valor,Contagem
0,48
1,65
2,168
3,19
4,105
5,168
6,48
7,67
8,59
9,50
Valor,Contagem
0,142
1,16
2,4
3,45
4,56
5,96
6,225
7,78
8,42
9,91
Valor,Contagem
0,108
1,153
2,67
3,141
4,105
5,26
6,52
7,39
8,12
9,93
Valor,Contagem
0,64
1,82
2,198
3,32
4,96
5,59
6,68
7,68
8,83
9,47
Valor,Contagem
0,17
1,203
2,167
3,137
4,39
5,28
6,64
7,64
8,20
9,57
Valor,Contagem
0,120
1,44
2,46
3,235
4,26
5,147
6,84
7,39
8,37
9,20
Valor,Contagem
0,44
1,81
2,36
3,124
4,39
5,79
6,78
7,121
8,88
9,106
Valor,Contagem
0,64
1,22
2,69
3,137
4,91
5,50
6,102
7,88
8,69
9,104
Valor,Contagem
0,74
1,108
2,81
3,108
4,32
5,112
6,104
7,40
8,118
9,20
Valor,Contagem
0,94
1,73
2,48
3,80
4,108
5,134
6,83
7,60
8,80
9,37
Valor,Contagem
0,19
1,175
2,61
3,148
4,39
5,88
6,32
7,116
8,23
9,96
Valor,Contagem
0,68
1,60
2,75
3,71
4,93
5,121
6,89
7,109
8,56
9,53
Valor,Contagem
0,103
1,115
2,72
3,59
4,24
5,60
6,29
7,156
8,29
9,150
Valor,Contagem
0,24
1,66
2,224
3,91
4,104
5,126
6,65
7,20
8,19
9,57
Valor,Contagem
0,68
1,8
2,36
3,110
4,153
5,82
6,113
7,24
8,109
9,93
Valor,Contagem
0,75
1,96
2,116
3,12
4,76
5,53
6,101
7,84
8,156
9,25
Valor,Contagem
0,19
1,4
2,7
3,41
4,232
5,36
6,104
7,145
8,20
9,189
Valor,Contagem
0,37
1,28
2,88
3,76
4,19
5,25
6,120
7,105
8,164
9,133
Valor,Contagem
0,55
1,96
2,25
3,110
4,58
5,146
6,127
7,57
8,72
9,50
Valor,Contagem
0,38
1,96
2,152
3,26
4,54
5,119
6,76
7,56
8,124
9,56
Valor,Contagem
0,48
1,108
2,72
3,102
4,16
5,165
6,86
7,55
8,40
9,105
Valor,Contagem
0,179
1,27
2,86
3,22
4,74
5,57
6,57
7,44
8,117
9,132
Valor,Contagem
0,128
1,121
2,85
3,104
4,46
5,48
6,8
7,116
8,36
9,102
Valor,Contagem
0,124
1,102
2,48
3,10
4,52
5,144
6,32
7,41
8,89
9,155
Valor,Contagem
0,84
1,108
2,157
3,93
4,200
5,12
6,10
7,33
8,35
9,64
Valor,Contagem
0,77
1,19
2,165
3,30
4,81
5,69
6,143
7,29
8,165
9,17
Valor,Contagem
0,67
1,295
2,49
3,42
4,20
5,84
6,8
7,90
8,99
9,42
Valor,Contagem
0,60
1,115
2,96
3,89
4,134
5,134
6,35
7,27
8,47
9,60
Valor,Contagem
0,48
1,47
2,92
3,56
4,94
5,76
6,39
7,92
8,225
9,28
Valor,Contagem
0,6
1,130
2,165
3,64
4,150
5,21
6,88
7,5
8,132
9,34
Valor,Contagem
0,76
1,192
2,172
3,79
4,36
5,40
6,40
7,45
8,36
9,80
Valor,Contagem
0,16
1,36
2,35
3,48
4,157
5,12
6,100
7,135
8,30
9,227
Valor,Contagem
0,112
1,125
2,12
3,21
4,33
5,97
6,194
7,85
8,50
9,65
Valor,Contagem
0,32
1,42
2,164
3,60
4,44
5,115
6,54
7,172
8,84
9,30
Valor,Contagem
0,15
1,143
2,54
3,52
4,62
5,140
6,48
7,177
8,20
9,87
Valor,Contagem
0,52
1,100
2,207
3,61
4,57
5,38
6,97
7,80
8,56
9,48
Valor,Contagem
0,81
1,93
2,176
3,76
4,36
5,33
6,44
7,116
8,61
9,80
Valor,Contagem
0,197
1,166
2,21
3,27
4,36
5,99
6,20
7,23
8,66
9,141
Valor,Contagem
0,108
1,29
2,113
3,52
4,60
5,151
6,216
7,21
8,26
9,21
Valor,Contagem
0,126
1,36
2,108
3,121
4,23
5,75
6,39
7,132
8,92
9,44
Valor,Contagem
0,138
1,13
2,94
3,168
4,16
5,79
6,35
7,60
8,80
9,113
Valor,Contagem
0,228
1,23
2,33
3,127
4,74
5,86
6,30
7,90
8,51
9,54
Valor,Contagem
0,180
1,38
2,44
3,42
4,57
5,158
6,68
7,33
8,140
9,36
Valor,Contagem
0,86
1,173
2,176
3,89
4,82
5,48
6,29
7,51
8,45
9,16
Valor,Contagem
0,92
1,42
2,94
3,54
4,68
5,100
6,40
7,40
8,172
9,93
Valor,Contagem
0,11
1,48
2,193
3,60
4,44
5,145
6,20
7,57
8,57
9,161
Valor,Contagem
0,36
1,68
2,79
3,273
4,49
5,29
6,184
7,21
8,8
9,48
Valor,Contagem
0,74
1,48
2,113
3,34
4,62
5,85
6,52
7,113
8,35
9,180
Valor,Contagem
0,57
1,84
2,114
3,11
4,31
5,39
6,123
