Valor,Contagem
0,30
1,16
2,50
3,12
4,174
5,132
6,20
7,145
8,110
9,108
Valor,Contagem
0,32
1,92
2,13
3,48
4,69
5,168
6,20
7,43
8,114
9,198
Valor,Contagem
0,110
1,69
2,50
3,55
4,103
5,37
6,138
7,95
8,52
9,88
Valor,Contagem
0,55
1,12
2,7
3,102
4,260
5,147
6,13
7,43
8,76
9,82
Valor,Contagem
0,56
1,49
2,63
3,96
4,84
5,37
6,165
7,52
8,135
9,60
Valor,Contagem
0,7
1,86
2,80
3,104
4,91
5,100
6,37
7,75
8,95
9,121
Valor,Contagem
0,74
1,54
2,36
3,85
4,133
5,20
6,66
7,76
8,94
9,156
Valor,Contagem
0,12
1,89
2,128
3,15
4,30
5,107
6,24
7,215
8,88
9,88
Valor,Contagem
0,65
1,188
2,48
3,10
4,124
5,17
6,56
7,60
8,145
9,82
Valor,Contagem
0,90
1,38
2,14
3,84
4,92
5,59
6,103
7,74
8,120
9,123
Valor,Contagem
0,97
1,124
2,63
3,190
4,9
5,32
6,75
7,8
8,131
9,66
Valor,Contagem
0,19
1,156
2,19
3,20
4,118
5,76
6,129
7,112
8,57
9,90
Valor,Contagem
0,45
1,83
2,40
3,76
4,102
5,136
6,148
7,73
8,55
9,39
Valor,Contagem
0,109
1,91
2,241
3,60
4,67
5,108
6,40
7,12
8,25
9,44
Valor,Contagem
0,27
1,81
2,70
3,152
4,52
5,14
6,4
7,76
8,95
9,225
Valor,Contagem
0,126
1,101
2,143
3,149
4,99
5,20
6,24
7,6
8,59
9,69
Valor,Contagem
0,18
1,88
2,62
3,58
4,46
5,260
6,17
7,92
8,136
9,19
Valor,Contagem
0,66
1,95
2,114
3,28
4,54
5,84
6,119
7,55
8,100
9,83
Valor,Contagem
0,89
1,52
2,48
3,100
4,193
5,100
6,110
7,58
8,2
9,45
Valor,Contagem
0,32
1,186
2,106
3,184
4,41
5,70
6,58
7,69
8,30
9,20
Valor,Contagem
0,20
1,152
2,45
3,27
4,139
5,52
6,46
7,110
8,21
9,184
Valor,Contagem
0,122
1,84
2,24
3,153
4,28
5,48
6,28
7,97
8,90
9,123
Valor,Contagem
0,52
1,125
2,29
3,116
4,134
5,6
6,73
7,68
8,32
9,160
Valor,Contagem
0,83
1,98
2,87
3,7
4,320
5,7
6,57
7,46
8,32
9,59
Valor,Contagem
0,36
1,170
2,36
3,142
4,4
5,7
6,67
7,75
8,62
9,198
Valor,Contagem
0,43
1,185
2,119
3,5
4,140
5,82
6,124
7,47
8,1
9,50
Valor,Contagem
0,220
1,99
2,56
3,8
4,155
5,15
6,112
7,48
8,78
9,7
Valor,Contagem
0,26
1,25
2,63
3,95
4,133
5,82
6,118
7,16
8,156
9,82
Valor,Contagem
0,36
1,42
2,106
3,30
4,76
5,104
6,70
7,57
8,160
9,113
Valor,Contagem
0,120
1,44
2,65
3,176
4,40
5,47
6,36
7,101
8,37
9,129
Valor,Contagem
0,54
1,102
2,111
3,75
4,110
5,45
6,132
7,36
8,36
9,96
Valor,Contagem
0,103
1,224
2,29
3,160
4,54
5,8
6,112
7,31
8,62
9,14
Valor,Contagem
0,123
1,32
2,34
3,176
4,40
5,84
6,30
7,112
8,107
9,57
Valor,Contagem
0,89
1,43
2,104
3,28
4,145
5,32
6,78
7,75
8,178
9,24
Valor,Contagem
0,164
1,15
2,36
3,138
4,22
5,104
6,212
7,67
8,24
9,13
Valor,Contagem
0,76
1,100
2,37
3,119
4,111
5,25
6,38
7,84
8,174
9,33
Valor,Contagem
0,72
1,56
2,40
3,84
4,66
5,72
6,33
7,14
8,246
9,112
Valor,Contagem
0,83
1,115
2,13
3,88
4,43
5,124
6,49
7,92
8,144
9,46
Valor,Contagem
0,140
1,112
2,58
3,121
4,45
5,121
6,87
7,62
8,28
9,21
Valor,Contagem
0,6
1,79
2,138
3,32
4,140
5,95
6,61
7,168
8,61
9,16
Valor,Contagem
0,164
1,96
2,85
3,151
4,66
5,43
6,33
7,78
8,46
9,34
Valor,Contagem
0,38
1,36
2,108
3,242
4,92
5,54
6,80
7,28
8,69
9,48
Valor,Contagem
0,95
1,35
2,9
3,119
4,28
5,137
6,17
7,46
8,152
9,159
Valor,Contagem
0,67
1,133
2,107
3,44
4,162
5,57
6,62
7,90
8,49
9,25
Valor,Contagem
0,52
1,90
2,48
3,12
4,41
5,84
6,103
7,87
8,79
9,201
Valor,Contagem
0,51
1,47
2,33
3,16
4,73
5,29
6,117
7,170
8,198
9,62
Valor,Contagem
0,155
1,148
2,48
3,24
4,91
5,85
6,79
7,76
8,50
9,40
Valor,Contagem
0,134
1,86
2,103
3,84
4,24
5,48
6,90
7,122
8,61
9,44
Valor,Contagem
0,80
1,57
2,80
3,172
4,31
5,18
6,96
7,132
8,87
9,43
Valor,Contagem
0,14
