Valor,Contagem
0,129
1,77
2,108
3,78
4,101
5,54
6,73
7,24
8,89
9,63
Valor,Contagem
0,31
1,146
2,66
3,64
4,105
5,63
6,45
7,120
8,93
9,63
Valor,Contagem
0,64
1,86
2,51
3,128
4,41
5,44
6,71
7,72
8,152
9,85
Valor,Contagem
0,59
1,68
2,63
3,61
4,59
5,153
6,84
7,99
8,87
9,64
Valor,Contagem
0,100
1,22
2,93
3,102
4,40
5,96
6,116
7,103
8,56
9,70
Valor,Contagem
0,76
1,53
2,128
3,114
4,54
5,76
6,112
7,46
8,76
9,60
Valor,Contagem
0,60
1,37
2,71
3,95
4,68
5,113
6,103
7,79
8,54
9,116
Valor,Contagem
0,137
1,76
2,89
3,107
4,72
5,87
6,51
7,74
8,27
9,76
Valor,Contagem
0,46
1,48
2,190
3,68
4,68
5,102
6,56
7,71
8,99
9,49
Valor,Contagem
0,87
1,82
2,94
3,45
4,76
5,58
6,29
7,120
8,163
9,41
Valor,Contagem
0,56
1,131
2,87
3,42
4,95
5,44
6,49
7,144
8,86
9,64
Valor,Contagem
0,45
1,85
2,64
3,67
4,104
5,65
6,79
7,84
8,56
9,147
Valor,Contagem
0,75
1,92
2,108
3,73
4,42
5,48
6,98
7,148
8,99
9,14
Valor,Contagem
0,52
1,82
2,125
3,61
4,70
5,120
6,90
7,92
8,48
9,55
Valor,Contagem
0,96
1,63
2,35
3,92
4,104
5,157
6,45
7,104
8,55
9,45
Valor,Contagem
0,120
1,61
2,90
3,61
4,51
5,94
6,96
7,76
8,53
9,93
Valor,Contagem
0,40
1,56
2,72
3,18
4,99
5,81
6,90
7,122
8,103
9,116
Valor,Contagem
0,70
1,92
2,97
3,101
4,69
5,64
6,59
7,44
8,104
9,96
Valor,Contagem
0,50
1,29
2,60
3,116
4,46
5,81
6,112
7,57
8,72
9,172
Valor,Contagem
0,84
1,66
2,47
3,72
4,56
5,60
6,124
7,138
8,49
9,100
Valor,Contagem
0,87
1,55
2,101
3,40
4,62
5,108
6,72
7,169
8,60
9,40
Valor,Contagem
0,109
1,69
2,67
3,52
4,49
5,111
6,72
7,137
8,36
9,95
Valor,Contagem
0,68
1,38
2,104
3,100
4,108
5,48
6,25
7,130
8,122
9,53
Valor,Contagem
0,84
1,72
2,40
3,82
4,40
5,81
6,95
7,117
8,146
9,39
Valor,Contagem
0,53
1,59
2,144
3,92
4,90
5,56
6,98
7,101
8,61
9,40
Valor,Contagem
0,135
1,48
2,88
3,64
4,109
5,146
6,26
7,31
8,91
9,59
Valor,Contagem
0,96
1,75
2,38
3,35
4,68
5,71
6,84
7,128
8,130
9,72
Valor,Contagem
0,26
1,42
2,42
3,105
4,115
5,139
6,104
7,40
8,44
9,140
Valor,Contagem
0,84
1,60
2,48
3,84
4,29
5,61
6,126
7,108
8,52
9,144
Valor,Contagem
0,120
1,96
2,56
3,112
4,99
5,108
6,52
7,68
8,39
9,45
Valor,Contagem
0,43
1,114
2,76
3,60
4,60
5,88
6,122
7,103
8,29
9,101
Valor,Contagem
0,62
1,141
2,66
3,43
4,100
5,65
6,76
7,105
8,49
9,88
Valor,Contagem
0,44
1,122
2,83
3,96
4,68
5,83
6,65
7,28
8,118
9,91
Valor,Contagem
0,111
1,22
2,84
3,103
4,64
5,49
6,85
7,80
8,88
9,111
Valor,Contagem
0,169
1,70
2,80
3,47
4,10
5,109
6,65
7,90
8,91
9,64
Valor,Contagem
0,94
1,63
2,79
3,99
4,62
5,64
6,152
7,53
8,73
9,57
Valor,Contagem
0,59
1,56
2,68
3,156
4,207
5,45
6,54
7,52
8,75
9,24
Valor,Contagem
0,63
1,44
2,86
3,59
4,112
5,92
6,82
7,86
8,60
9,112
Valor,Contagem
0,93
1,80
2,75
3,53
4,78
5,84
6,92
7,37
8,69
9,135
Valor,Contagem
0,117
1,49
2,34
3,31
4,49
5,70
6,185
7,70
8,104
9,86
Valor,Contagem
0,47
1,23
2,106
3,76
4,108
5,60
6,70
7,156
8,27
9,124
Valor,Contagem
0,159
1,48
2,59
3,195
4,105
5,53
6,52
7,40
8,38
9,47
Valor,Contagem
0,84
1,116
2,72
3,96
4,26
5,97
6,119
7,56
8,33
9,96
Valor,Contagem
0,40
1,101
2,91
3,110
4,124
5,74
6,42
7,20
8,90
9,103
Valor,Contagem
0,120
1,35
2,65
3,68
4,84
5,90
6,82
7,75
8,133
9,45
Valor,Contagem
0,80
1,60
2,90
3,92
4,90
5,97
6,88
7,53
8,96
9,50
Valor,Contagem
0,66
1,71
2,68
3,106
4,71
5,122
6,44
7,90
8,70
9,88
Valor,Contagem
0,88
1,70
2,57
3,35
4,99
5,135
6,87
7,68
8,72
9,84
Valor,Contagem
0,71
1,120
2,36
3,138
4,44
5,88
6,48
7,45
8,140
9,67
Valor,Contagem
0,116
1,88
2,60
3,106
4,41
5,62
6,112
7,67
8,115
9,29
Valor,Contagem
0,134
1,87
2,52
3,40
4,64
5,70
6,151
7,33
8,45
9,120
Valor,Contagem
0,23
1,41
2,78
3,132
4,55
5,81
6,82
7,82
8,112
9,111
Valor,Contagem
0,64
1,66
2,115
3,34
4,62
5,95
6,100
7,113
8,72
9,75
Valor,Contagem
0,30
1,50
2,21
3,185
4,89
5,102
6,64
7,44
8,41
9,169
Valor,Contagem
0,93
1,36
2,56
3,85
4,69
5,78
6,47
7,60
8,111
9,161
Valor,Contagem
0,96
1,77
2,57
3,98
4,21
5,57
6,64
7,96
8,135
9,96
Valor,Contagem
0,94
1,33
2,114
3,155
4,136
5,41
6,35
7,89
8,60
9,39
Valor,Contagem
0,78
1,98
2,48
3,139
4,128
5,80
6,53
7,58
8,56
9,58
Valor,Contagem
0,69
1,104
2,71
3,95
4,61
5,96
6,56
7,68
8,104
9,71
Valor,Contagem
0,32
1,88
2,225
3,55
4,56
5,124
6,39
7,45
8,48
9,84
Valor,Contagem
0,170
1,81
2,91
3,61
4,40
5,84
6,24
7,72
8,65
9,108
Valor,Contagem
0,86
1,135
2,56
3,90
4,101
5,97
6,87
7,41
8,28
9,75
Valor,Contagem
0,44
1,70
2,127
3,81
4,87
5,50
6,84
7,86
8,125
9,42
Valor,Contagem
0,84
1,80
2,20
3,76
4,52
5,113
6,105
7,82
8,69
9,115
Valor,Contagem
0,72
1,98
2,140
3,64
4,88
5,85
6,24
7,33
8,116
9,74
Valor,Contagem
0,49
1,112
2,109
3,79
4,72
5,84
6,75
7,80
8,68
9,67
Valor,Contagem
0,20
1,64
2,44
3,111
4,59
5,117
6,75
7,118
8,47
9,142
Valor,Contagem
0,40
1,139
2,57
3,54
4,64
5,44
6,92
7,108
8,111
9,87
Valor,Contagem
0,31
1,86
2,76
3,54
4,90
5,60
6,59
7,112
8,104
9,123
Valor,Contagem
0,104
1,143
2,57
3,96
4,82
5,32
6,61
7,25
8,104
9,92
Valor,Contagem
0,77
1,75
2,147
3,64
4,52
5,102
6,69
7,148
8,40
9,22
Valor,Contagem
0,83
1,109
2,35
3,149
4,94
5,96
6,25
7,48
8,64
9,92
Valor,Contagem
0,52
1,84
2,128
3,69
4,122
5,29
6,22
7,149
8,91
9,51
Valor,Contagem
0,44
1,68
2,88
3,94
4,112
5,52
6,63
7,116
8,90
9,69
Valor,Contagem
0,96
1,113
2,155
3,97
4,54
5,43
6,24
7,31
8,101
9,82
Valor,Contagem
0,87
1,23
2,164
3,84
4,61
5,85
6,60
7,56
8,100
9,76
Valor,Contagem
0,50
1,58
2,74
3,80
4,82
5,102
6,51
7,59
8,62
9,178
Valor,Contagem
0,43
1,63
2,58
3,101
4,176
5,69
6,51
7,81
8,69
9,84
Valor,Contagem
0,140
1,53
2,44
3,93
4,31
5,84
6,105
7,48
8,115
9,81
Valor,Contagem
0,64
1,54
2,84
3,120
4,124
5,67
6,55
7,94
8,67
9,68
Valor,Contagem
0,124
1,47
2,59
3,60
4,102
5,58
6,112
7,64
8,73
9,97
Valor,Contagem
0,56
1,40
2,48
3,80
4,87
5,152
6,78
7,86
8,92
9,76
Valor,Contagem
0,76
1,112
2,50
3,56
4,79
5,54
6,88
7,157
8,37
9,86
Valor,Contagem
0,151
1,116
2,67
3,81
4,40
5,64
6,80
7,56
8,68
9,73
Valor,Contagem
0,66
1,98
2,39
3,117
4,38
5,136
6,88
7,52
8,55
9,107
Valor,Contagem
0,168
1,92
2,150
3,83
4,32
5,14
6,81
7,67
8,72
9,38
Valor,Contagem
0,111
1,138
2,37
3,115
4,99
5,108
6,34
7,72
8,47
9,35
Valor,Contagem
0,127
1,113
2,80
3,89
4,58
5,111
6,33
7,80
8,41
9,64
Valor,Contagem
0,14
1,119
2,85
3,27
4,125
5,88
6,134
7,44
8,101
9,58
Valor,Contagem
0,119
1,61
2,61
3,109
4,87
5,53
6,72
7,81
8,94
9,58
Valor,Contagem
0,116
1,24
2,90
3,48
4,96
5,120
6,111
7,20
8,94
9,79
Valor,Contagem
0,100
1,39
2,124
3,234
4,60
5,25
6,45
7,13
8,72
9,84
Valor,Contagem
0,135
1,61
2,69
3,80
4,133
5,88
6,48
7,55
8,104
9,22
Valor,Contagem
0,60
1,51
2,98
3,88
4,108
5,131
6,46
7,20
8,95
9,100
Valor,Contagem
0,85
1,111
2,75
3,101
4,60
5,89
6,21
7,52
8,52
9,150
Valor,Contagem
0,53
1,78
2,77
3,143
4,70
5,89
6,70
7,85
8,36
9,95
Valor,Contagem
0,50
1,114
2,78
3,76
4,48
5,128
6,73
7,62
8,72
9,95
Valor,Contagem
0,64
1,120
2,73
3,68
4,121
5,62
6,57
7,116
8,54
9,61
Valor,Contagem
0,108
1,38
2,87
3,84
4,179
5,56
6,44
7,57
8,80
9,64
Valor,Contagem
0,64
1,38
2,106
3,65
4,120
5,50
6,98
7,42
8,108
9,105
Valor,Contagem
0,37
1,155
2,71
3,40
4,60
5,100
6,63
7,87
8,88
9,96
Valor,Contagem
0,37
1,59
2,52
3,92
4,108
5,127
6,116
7,33
8,72
9,100
Valor,Contagem
0,46
1,75
2,100
3,66
4,76
5,117
6,103
7,63
8,81
9,69
Valor,Contagem
0,62
1,172
2,80
3,38
4,77
5,160
6,37
7,92
8,48
9,28
Valor,Contagem
0,156
1,49
2,96
3,96
4,80
5,34
6,40
7,64
8,94
9,86
Valor,Contagem
0,144
1,36
2,83
3,87
4,72
5,116
6,40
7,48
8,82
9,87
Valor,Contagem
0,48
1,95
2,159
3,137
4,50
5,48
6,54
7,56
8,89
9,60
Valor,Contagem
0,131
1,32
2,60
3,36
4,48
5,159
6,38
7,80
8,114
9,100
Valor,Contagem
0,40
1,145
2,109
3,76
4,68
5,44
6,80
7,88
8,84
9,61
Valor,Contagem
0,75
1,100
2,161
3,28
4,83
5,105
6,57
7,87
8,62
9,38
Valor,Contagem
0,61
1,123
2,100
3,62
4,72
5,82
6,125
7,68
8,49
9,53
Valor,Contagem
0,72
1,114
2,152
3,65
4,32
5,109
6,53
7,58
8,115
9,25
Valor,Contagem
0,24
1,74
2,37
3,21
4,143
5,91
6,109
7,115
8,31
9,151
Valor,Contagem
0,108
1,111
2,77
3,64
4,60
5,93
6,105
7,69
8,42
9,66
Valor,Contagem
0,62
1,120
2,153
3,48
4,44
5,92
6,77
7,29
8,80
9,92
Valor,Contagem
0,52
1,136
2,76
3,88
4,95
5,56
6,79
7,64
8,64
9,88
Valor,Contagem
0,58
1,46
2,164
3,24
4,79
5,64
6,93
7,121
8,58
9,88
Valor,Contagem
0,70
1,51
2,72
3,54
4,104
5,140
6,49
7,36
8,130
9,89
Valor,Contagem
0,106
1,88
2,69
3,71
4,96
5,84
6,55
7,67
8,99
9,61
Valor,Contagem
0,123
1,29
2,67
3,90
4,65
5,103
6,117
7,49
8,43
9,110
Valor,Contagem
0,82
1,92
2,38
3,115
4,98
5,77
6,86
7,30
8,83
9,96
Valor,Contagem
0,36
1,158
2,84
3,99
4,39
5,76
6,96
7,41
8,124
9,43
Valor,Contagem
0,90
1,72
2,137
3,60
4,56
5,91
6,62
7,58
8,68
9,103
Valor,Contagem
0,89
1,75
2,39
3,66
4,117
5,84
6,36
7,109
8,82
9,100
Valor,Contagem
0,129
1,36
2,56
3,61
4,90
5,86
6,94
7,92
8,114
9,37
Valor,Contagem
0,132
1,55
2,100
3,81
4,51
5,58
6,37
7,150
8,51
9,81
Valor,Contagem
0,100
1,81
2,80
3,112
4,35
5,84
6,52
7,95
8,76
9,83
Valor,Contagem
0,19
1,48
2,90
3,91
4,72
5,66
6,68
7,152
8,60
9,131
Valor,Contagem
0,88
1,89
2,68
3,29
4,76
5,84
6,121
7,52
8,129
9,59
Valor,Contagem
0,70
1,100
2,160
3,128
4,66
5,89
6,49
7,26
8,61
9,45
Valor,Contagem
0,136
1,71
2,47
3,43
4,81
5,139
6,114
7,66
8,44
9,55
Valor,Contagem
0,87
1,172
2,96
3,67
4,101
5,68
6,44
7,64
8,51
9,46
Valor,Contagem
0,164
1,63
2,56
3,98
4,113
5,48
6,44
7,112
8,50
9,47
Valor,Contagem
0,58
1,112
2,78
3,100
4,71
5,61
6,56
7,48
8,60
9,152
Valor,Contagem
0,64
1,48
2,89
3,38
4,88
5,115
6,55
7,187
8,32
9,80
Valor,Contagem
0,51
1,159
2,124
3,44
4,26
5,72
6,38
7,72
8,122
9,90
Valor,Contagem
0,23
1,128
2,40
3,134
4,31
5,63
6,178
7,83
8,49
9,68
Valor,Contagem
0,96
1,175
2,20
3,28
4,52
5,39
6,128
7,71
8,116
9,71
Valor,Contagem
0,68
1,107
2,104
3,54
4,57
5,39
6,61
7,110
8,83
9,112
Valor,Contagem
0,105
1,54
2,105
3,109
4,51
5,80
6,80
7,84
8,67
9,60
Valor,Contagem
0,80
1,198
2,108
3,113
4,70
5,50
6,49
7,46
8,60
9,21
Valor,Contagem
0,93
1,42
2,100
3,74
4,88
5,68
6,112
7,38
8,77
9,103
Valor,Contagem
0,76
1,66
2,66
3,43
4,117
5,134
6,64
7,40
8,96
9,93
Valor,Contagem
0,132
1,74
2,83
3,46
4,43
5,106
6,62
7,101
8,92
9,57
Valor,Contagem
0,107
1,46
2,98
3,111
4,144
5,68
6,50
7,56
8,66
9,51
Valor,Contagem
0,105
1,30
2,129
3,80
4,37
5,97
6,114
7,93
8,66
9,44
Valor,Contagem
0,184
1,68
2,96
3,87
4,33
5,40
6,67
7,68
8,73
9,80
Valor,Contagem
0,104
1,57
2,60
3,75
4,16
5,43
6,63
7,98
8,171
9,109
Valor,Contagem
0,65
1,74
2,33
3,26
4,53
5,148
6,104
7,124
8,78
9,91
Valor,Contagem
0,76
1,150
2,101
3,69
4,56
5,87
6,75
7,46
8,44
9,92
Valor,Contagem
0,46
1,81
2,64
3,154
4,36
5,31
6,87
7,83
8,86
9,128
Valor,Contagem
0,68
1,40
2,37
3,57
4,51
5,81
6,70
7,144
8,80
9,168
Valor,Contagem
0,52
1,79
2,72
3,54
4,58
5,113
6,116
7,54
8,89
9,108
Valor,Contagem
0,68
1,75
2,49
3,78
4,65
5,116
6,64
7,80
8,85
9,116
Valor,Contagem
0,107
1,48
2,75
3,108
4,44
5,117
6,97
7,72
8,77
9,52
Valor,Contagem
0,90
1,128
2,86
3,109
4,19
5,62
6,76
7,66
8,74
9,86
Valor,Contagem
0,60
1,65
2,53
3,188
4,61
5,60
6,56
7,67
8,104
9,82
Valor,Contagem
0,46
1,72
2,58
3,158
4,90
5,97
6,45
7,101
8,42
9,87
Valor,Contagem
0,64
1,100
2,108
3,85
4,120
5,80
6,63
7,85
8,68
9,22
Valor,Contagem
0,90
1,68
2,68
3,27
4,56
5,87
6,76
7,169
8,16
9,139
Valor,Contagem
0,73
1,55
2,80
3,82
4,124
5,39
6,141
7,86
8,43
9,73
Valor,Contagem
0,73
1,62
2,99
3,49
4,163
5,89
6,39
7,63
8,84
9,75
Valor,Contagem
0,84
1,68
2,95
3,67
4,112
5,162
6,49
7,63
8,21
9,76
Valor,Contagem
0,96
1,54
2,92
3,70
4,120
5,81
6,35
7,112
8,43
9,94
Valor,Contagem
0,34
1,86
2,84
3,48
4,32
5,116
6,184
7,53
8,42
9,117
Valor,Contagem
0,72
1,112
2,36
3,72
4,95
5,52
6,82
7,113
8,71
9,92
Valor,Contagem
0,53
1,133
2,150
3,35
4,73
5,205
6,44
7,28
8,30
9,44
Valor,Contagem
0,40
1,192
2,57
3,69
4,53
5,143
6,61
7,64
8,68
9,48
Valor,Contagem
0,96
1,67
2,76
3,56
4,50
5,73
6,86
7,80
8,152
9,60
Valor,Contagem
0,112
1,52
2,21
3,127
4,72
5,102
6,136
7,73
8,41
9,60
Valor,Contagem
0,42
1,54
2,62
3,43
4,88
5,148
6,51
7,177
8,68
9,63
Valor,Contagem
0,108
1,58
2,100
3,127
4,111
5,51
6,84
7,48
8,79
9,32
Valor,Contagem
0,70
1,39
2,152
3,116
4,94
5,78
6,53
7,59
8,72
9,64
Valor,Contagem
0,63
1,95
2,61
