Valor,Contagem
0,58
1,104
2,80
3,53
4,81
5,67
6,140
7,61
8,100
9,52
Valor,Contagem
0,52
1,65
2,108
3,99
4,56
5,92
6,96
7,62
8,105
9,61
Valor,Contagem
0,79
1,127
2,46
3,72
4,35
5,97
6,79
7,68
8,108
9,84
Valor,Contagem
0,72
1,74
2,114
3,59
4,112
5,52
6,69
7,116
8,69
9,59
Valor,Contagem
0,70
1,43
2,50
3,64
4,74
5,98
6,116
7,60
8,161
9,61
Valor,Contagem
0,88
1,53
2,99
3,88
4,51
5,56
6,84
7,107
8,102
9,69
Valor,Contagem
0,68
1,50
2,64
3,95
4,58
5,129
6,65
7,109
8,108
9,50
Valor,Contagem
0,92
1,73
2,72
3,48
4,124
5,73
6,98
7,69
8,87
9,59
Valor,Contagem
0,52
1,71
2,46
3,172
4,67
5,60
6,56
7,100
8,89
9,84
Valor,Contagem
0,89
1,53
2,116
3,77
4,64
5,50
6,106
7,55
8,102
9,84
Valor,Contagem
0,104
1,78
2,70
3,70
4,100
5,107
6,79
7,69
8,24
9,96
Valor,Contagem
0,59
1,60
2,83
3,100
4,62
5,91
6,70
7,93
8,58
9,120
Valor,Contagem
0,102
1,103
2,69
3,80
4,67
5,39
6,79
7,65
8,80
9,112
Valor,Contagem
0,72
1,115
2,67
3,91
4,52
5,106
6,72
7,90
8,63
9,69
Valor,Contagem
0,100
1,79
2,84
3,59
4,80
5,101
6,65
7,78
8,52
9,98
Valor,Contagem
0,80
1,83
2,124
3,68
4,63
5,48
6,80
7,107
8,72
9,72
Valor,Contagem
0,50
1,116
2,77
3,108
4,65
5,85
6,71
7,41
8,85
9,97
Valor,Contagem
0,64
1,46
2,112
3,85
4,60
5,62
6,86
7,67
8,112
9,103
Valor,Contagem
0,95
1,80
2,124
3,59
4,56
5,89
6,88
7,53
8,95
9,58
Valor,Contagem
0,52
1,79
2,56
3,41
4,101
5,109
6,83
7,118
8,86
9,70
Valor,Contagem
0,127
1,107
2,48
3,50
4,96
5,89
6,56
7,98
8,49
9,75
Valor,Contagem
0,98
1,88
2,85
3,69
4,57
5,50
6,133
7,88
8,61
9,66
Valor,Contagem
0,88
1,129
2,60
3,108
4,76
5,83
6,73
7,50
8,79
9,49
Valor,Contagem
0,39
1,71
2,80
3,100
4,108
5,98
6,76
7,69
8,83
9,72
Valor,Contagem
0,103
1,64
2,49
3,54
4,50
5,135
6,61
7,88
8,110
9,82
Valor,Contagem
0,61
1,102
2,88
3,92
4,98
5,69
6,65
7,99
8,35
9,86
Valor,Contagem
0,68
1,60
2,91
3,78
4,100
5,108
6,74
7,72
8,86
9,60
Valor,Contagem
0,89
1,137
2,66
3,82
4,24
5,56
6,97
7,65
8,53
9,126
Valor,Contagem
0,43
1,72
2,73
3,82
4,117
5,48
6,65
7,108
8,52
9,134
Valor,Contagem
0,53
1,124
2,56
3,107
4,94
5,72
6,83
7,78
8,49
9,80
Valor,Contagem
0,171
1,58
2,91
3,82
4,40
5,59
6,78
7,56
8,68
9,94
Valor,Contagem
0,96
1,88
2,80
3,72
4,51
5,67
6,88
7,111
8,99
9,45
Valor,Contagem
0,68
1,78
2,67
3,68
4,114
5,58
6,105
7,68
8,104
9,66
Valor,Contagem
0,72
1,57
2,69
3,92
4,99
5,73
6,65
7,132
8,76
9,60
Valor,Contagem
0,92
1,96
2,61
3,74
4,112
5,80
6,58
7,44
8,77
9,101
Valor,Contagem
0,72
1,78
2,105
3,123
4,41
5,92
6,59
7,79
8,85
9,62
Valor,Contagem
0,89
1,102
2,84
3,83
4,40
5,66
6,132
7,60
8,93
9,47
Valor,Contagem
0,56
1,48
2,96
3,92
4,74
5,56
6,89
7,121
8,52
9,112
Valor,Contagem
0,72
1,128
2,70
3,79
4,130
5,56
6,44
7,97
8,40
9,80
Valor,Contagem
0,103
1,96
2,101
3,91
4,61
5,89
6,66
7,70
8,59
9,60
Valor,Contagem
0,86
1,107
2,128
3,71
4,80
5,33
6,73
7,92
8,59
9,66
Valor,Contagem
0,167
1,54
2,112
3,45
4,68
5,68
6,61
7,80
8,77
9,64
Valor,Contagem
0,69
1,80
2,53
3,66
4,73
5,68
6,76
7,110
8,117
9,84
Valor,Contagem
0,56
1,74
2,69
3,127
4,117
5,75
6,72
7,56
8,68
9,82
Valor,Contagem
0,48
1,58
2,137
3,29
4,86
5,86
6,122
7,80
8,90
9,59
Valor,Contagem
0,128
1,58
2,98
3,80
4,64
5,66
6,78
7,77
8,68
9,80
Valor,Contagem
0,67
1,77
2,132
3,66
4,71
5,94
6,61
7,99
8,74
9,55
Valor,Contagem
0,49
1,61
2,46
3,76
4,125
5,76
6,69
7,92
8,106
9,95
Valor,Contagem
0,138
1,60
2,75
3,88
4,64
5,63
6,88
7,86
8,77
9,56
Valor,Contagem
0,74
1,93
2,100
3,115
4,72
5,55
6,94
7,44
8,76
9,72
Valor,Contagem
0,79
1,71
2,83
3,55
4,87
5,94
6,44
7,106
8,84
9,93
Valor,Contagem
0,41
1,100
2,58
3,80
4,96
5,72
6,98
7,104
8,59
9,88
Valor,Contagem
0,29
1,88
2,56
3,65
4,56
5,128
6,55
7,125
8,100
9,93
Valor,Contagem
0,44
1,120
2,102
3,76
4,115
5,52
6,91
7,53
8,63
9,80
Valor,Contagem
0,75
1,149
2,40
3,86
4,80
5,108
6,75
7,58
8,73
9,52
Valor,Contagem
0,89
1,86
2,78
3,80
4,70
5,94
6,85
7,76
8,50
9,88
Valor,Contagem
0,70
1,96
2,36
3,96
4,116
5,73
6,60
7,54
8,147
9,48
Valor,Contagem
0,114
1,106
2,62
3,85
4,34
5,64
6,55
7,96
8,85
9,95
Valor,Contagem
0,103
1,64
2,82
3,68
4,64
5,89
6,79
7,93
8,77
9,76
Valor,Contagem
0,52
1,48
2,84
3,88
4,67
5,119
6,88
7,28
8,89
9,134
Valor,Contagem
0,78
1,67
2,32
3,59
4,90
5,82
6,82
7,112
8,120
9,74
Valor,Contagem
0,85
1,43
2,96
3,48
4,126
5,68
6,89
7,97
8,68
9,76
Valor,Contagem
0,83
1,59
2,100
3,72
4,114
5,66
6,90
7,76
8,76
9,60
Valor,Contagem
0,77
1,84
2,56
3,100
4,74
5,88
6,68
7,79
8,78
9,91
Valor,Contagem
0,129
1,74
2,136
3,98
4,64
5,67
6,74
7,54
8,67
9,34
Valor,Contagem
0,72
1,47
2,26
3,52
4,168
5,134
6,84
7,59
8,72
9,83
Valor,Contagem
