Valor,Contagem
0,75
1,37
2,116
3,147
4,41
5,11
6,80
7,144
8,86
9,60
Valor,Contagem
0,68
1,110
2,16
3,76
4,147
5,191
6,16
7,36
8,26
9,111
Valor,Contagem
0,47
1,62
2,44
3,144
4,144
5,92
6,8
7,124
8,78
9,54
Valor,Contagem
0,46
1,107
2,165
3,72
4,45
5,47
6,129
7,96
8,29
9,60
Valor,Contagem
0,148
1,4
2,103
3,12
4,20
5,50
6,136
7,101
8,32
9,191
Valor,Contagem
0,92
1,76
2,59
3,60
4,120
5,17
6,171
7,122
8,49
9,28
Valor,Contagem
0,49
1,94
2,178
3,56
4,49
5,129
6,56
7,32
8,56
9,96
Valor,Contagem
0,60
1,31
2,168
3,174
4,112
5,19
6,61
7,67
8,38
9,67
Valor,Contagem
0,27
1,122
2,9
3,63
4,112
5,204
6,87
7,95
8,52
9,25
Valor,Contagem
0,77
1,58
2,116
3,147
4,64
5,86
6,52
7,65
8,52
9,78
Valor,Contagem
0,127
1,92
2,64
3,71
4,45
5,31
6,72
7,78
8,150
9,66
Valor,Contagem
0,74
1,86
2,44
3,72
4,81
5,152
6,129
7,40
8,38
9,80
Valor,Contagem
0,193
1,14
2,162
3,80
4,10
5,53
6,48
7,9
8,87
9,140
Valor,Contagem
0,125
1,51
2,137
3,95
4,72
5,97
6,12
7,164
8,19
9,24
Valor,Contagem
0,55
1,68
2,61
3,16
4,80
5,98
6,110
7,96
8,57
9,156
Valor,Contagem
0,74
1,103
2,111
3,72
4,26
5,96
6,71
7,218
8,8
9,17
Valor,Contagem
0,39
1,32
2,34
3,184
4,72
5,60
6,86
7,207
8,42
9,41
Valor,Contagem
0,121
1,101
2,59
3,131
4,12
5,84
6,24
7,72
8,97
9,96
Valor,Contagem
0,100
1,7
2,35
3,168
4,142
5,108
6,30
7,61
8,128
9,16
Valor,Contagem
0,38
1,7
2,57
3,32
4,124
5,58
6,138
7,53
8,244
9,44
Valor,Contagem
0,104
1,76
2,101
3,80
4,75
5,45
