Valor,Contagem
0,7
1,18
2,85
3,4
4,300
5,8
6,41
7,117
8,99
9,116
Valor,Contagem
0,154
1,184
2,11
3,4
4,116
5,255
6,20
7,49
9,3
Valor,Contagem
0,112
2,4
3,184
4,126
7,119
8,104
9,146
Valor,Contagem
1,111
2,128
3,376
4,43
5,9
6,27
7,14
8,70
9,20
Valor,Contagem
0,150
2,21
3,5
5,172
6,197
7,52
8,56
9,143
Valor,Contagem
0,19
1,309
2,66
3,225
4,80
6,45
7,47
8,6
Valor,Contagem
0,20
1,331
2,120
3,53
4,227
5,18
6,14
7,4
8,4
9,4
Valor,Contagem
0,102
1,366
2,7
3,1
4,148
6,4
7,76
8,8
9,83
Valor,Contagem
0,104
1,24
2,232
3,144
4,220
5,12
6,58
8,2
9,1
Valor,Contagem
0,266
1,123
2,24
3,196
4,52
5,23
6,44
7,41
8,20
9,5
Valor,Contagem
0,57
2,8
3,15
4,386
5,116
7,1
8,212
9,3
Valor,Contagem
0,185
1,104
3,166
5,10
6,121
7,145
8,30
9,36
Valor,Contagem
0,20
1,44
2,40
3,8
4,3
5,474
6,121
7,47
8,19
9,19
Valor,Contagem
0,5
1,89
2,66
3,56
4,292
5,4
6,87
7,97
8,18
9,82
Valor,Contagem
0,176
1,128
2,40
3,79
4,6
5,30
6,4
7,267
8,21
9,46
Valor,Contagem
0,160
1,59
2,3
3,100
4,8
6,81
7,12
8,359
9,16
Valor,Contagem
0,33
1,53
3,96
4,2
5,46
6,323
7,190
8,32
9,20
Valor,Contagem
0,4
1,10
2,248
3,15
4,65
5,272
7,8
8,60
9,114
Valor,Contagem
0,1
1,8
2,152
3,309
4,2
5,181
6,23
8,73
9,48
Valor,Contagem
0,22
1,80
2,76
3,164
4,44
5,14
6,22
7,277
8,20
9,76
Valor,Contagem
0,16
1,70
2,175
3,34
4,60
5,4
6,341
7,56
8,4
9,36
Valor,Contagem
1,155
2,11
3,36
4,187
5,58
6,23
7,59
8,18
9,250
Valor,Contagem
0,28
1,40
2,44
3,11
4,313
5,96
6,12
7,40
8,39
9,172
Valor,Contagem
0,53
2,21
3,83
5,23
6,9
7,15
8,340
9,252
Valor,Contagem
0,432
2,100
6,40
7,152
8,37
9,36
Valor,Contagem
0,103
1,102
2,165
4,1
5,25
6,73
7,57
8,49
9,220
Valor,Contagem
0,5
1,202
2,21
3,120
4,1
5,298
6,44
7,1
8,76
9,26
Valor,Contagem
0,34
1,54
2,192
3,271
4,76
5,16
6,4
7,40
8,15
9,94
Valor,Contagem
0,237
1,22
2,238
3,2
4,2
5,35
7,20
8,204
9,36
Valor,Contagem
0,19
1,44
2,230
3,32
4,57
5,64
6,64
7,261
8,3
9,22
Valor,Contagem
0,32
1,18
3,304
4,1
5,41
6,24
7,196
8,153
9,27
Valor,Contagem
0,52
1,66
2,108
3,230
4,60
5,52
6,117
7,5
8,8
9,96
Valor,Contagem
0,120
1,2
2,6
3,54
4,80
5,86
6,22
7,286
8,140
Valor,Contagem
0,31
1,435
2,59
3,2
4,4
5,80
6,127
7,5
8,52
9,1
Valor,Contagem
0,34
1,8
2,48
3,84
4,8
5,148
6,67
7,183
8,91
9,124
Valor,Contagem
1,80
2,148
3,9
4,162
6,23
7,56
8,161
9,158
Valor,Contagem
0,298
1,246
3,80
4,57
5,2
6,9
7,58
8,32
9,15
Valor,Contagem
0,66
1,141
2,3
3,3
4,16
5,33
6,183
7,135
8,210
9,6
Valor,Contagem
0,126
1,40
3,4
4,11
5,173
6,61
7,1
8,368
9,12
Valor,Contagem
0,86
1,128
2,5
3,160
4,5
5,32
6,2
7,215
8,8
9,154
Valor,Contagem
0,7
1,149
2,12
3,489
4,37
6,42
7,5
8,20
9,35
Valor,Contagem
0,152
1,43
2,290
3,29
4,59
5,72
6,88
7,58
8,5
Valor,Contagem
0,10
1,258
3,4
4,23
5,242
6,12
7,186
9,61
Valor,Contagem
0,1
1,157
2,118
3,44
4,16
5,2
6,426
7,9
8,11
9,12
Valor,Contagem
0,20
1,346
2,271
3,39
4,27
5,4
7,5
8,84
9,1
Valor,Contagem
0,20
1,213
2,18
3,5
4,164
5,173
