Valor,Contagem
0,8
1,4
2,26
3,212
4,7
5,10
6,344
7,84
8,93
9,9
Valor,Contagem
0,2
1,387
2,64
3,8
4,120
5,45
6,5
7,160
8,1
9,4
Valor,Contagem
0,1
1,2
2,79
4,156
5,174
6,265
7,16
8,28
9,76
Valor,Contagem
0,20
1,234
2,297
3,4
4,25
5,88
6,75
9,54
Valor,Contagem
0,16
1,22
2,66
3,67
4,561
6,40
7,4
9,21
Valor,Contagem
0,8
1,49
2,3
3,13
4,52
5,218
6,191
7,122
8,96
9,44
Valor,Contagem
1,96
2,64
3,1
4,79
5,152
7,335
8,69
Valor,Contagem
0,31
1,15
3,174
4,104
5,78
6,203
7,94
8,14
9,84
Valor,Contagem
0,57
1,1
2,59
3,296
4,19
5,138
6,32
7,11
8,126
9,56
Valor,Contagem
0,267
1,1
2,184
3,23
4,16
5,76
6,27
7,192
9,10
Valor,Contagem
1,205
3,74
4,4
5,25
6,148
7,244
8,78
9,18
Valor,Contagem
0,33
1,48
2,99
3,165
4,59
6,160
7,56
8,4
9,172
Valor,Contagem
0,5
1,119
3,2
4,333
5,33
6,2
7,38
8,46
9,218
Valor,Contagem
0,9
1,1
2,78
3,10
4,343
5,98
6,104
7,1
8,4
9,148
Valor,Contagem
0,268
1,64
2,18
3,13
4,19
5,180
6,24
7,97
8,60
9,53
Valor,Contagem
0,24
1,240
2,1
3,140
5,103
6,35
8,115
9,139
Valor,Contagem
1,1
2,53
3,197
4,57
5,172
6,14
7,123
8,173
9,5
Valor,Contagem
0,100
2,90
3,54
4,242
5,45
6,64
7,9
8,16
9,176
Valor,Contagem
0,572
1,6
3,38
4,69
5,7
7,2
8,27
9,75
Valor,Contagem
0,28
1,40
2,1
3,74
4,15
5,37
6,213
7,332
8,20
9,36
Valor,Contagem
1,3
2,60
3,436
5,223
7,23
8,43
9,9
Valor,Contagem
0,1
1,3
2,265
3,111
4,75
5,80
6,116
7,4
8,134
9,8
Valor,Contagem
0,8
1,144
2,7
3,180
4,80
5,64
6,22
7,81
8,142
9,69
Valor,Contagem
0,102
1,266
2,58
3,24
4,115
5,111
6,1
7,45
8,72
9,3
Valor,Contagem
0,21
1,78
2,149
3,14
4,156
5,49
7,57
8,76
9,196
Valor,Contagem
0,178
1,34
2,3
3,1
4,128
5,168
6,10
7,273
9,2
Valor,Contagem
0,39
1,180
2,103
3,94
4,217
5,32
6,104
8,7
9,21
Valor,Contagem
0,4
1,12
3,47
4,69
5,36
6,42
7,121
8,360
9,105
Valor,Contagem
0,40
1,41
2,211
3,202
4,203
5,25
6,17
7,20
8,27
9,11
Valor,Contagem
0,124
1,1
2,32
3,164
4,25
5,129
6,16
7,52
8,112
9,140
Valor,Contagem
0,44
1,21
2,77
3,60
5,171
6,17
7,6
8,48
9,351
Valor,Contagem
0,299
1,60
2,16
3,34
4,39
5,39
6,23
8,199
9,89
Valor,Contagem
0,97
1,15
2,7
3,4
5,22
6,230
7,68
8,264
9,88
Valor,Contagem
0,140
2,36
3,2
4,7
6,391
7,70
8,76
9,76
Valor,Contagem
0,8
2,394
3,44
4,1
5,2
6,112
7,28
8,203
9,4
Valor,Contagem
0,12
2,275
5,104
6,192
7,3
8,146
9,64
Valor,Contagem
0,123
1,81
2,72
3,100
4,80
5,26
6,174
7,97
8,16
9,26
Valor,Contagem
0,62
1,18
2,5
4,2
6,285
7,316
8,33
9,74
Valor,Contagem
0,105
1,124
2,250
3,203
4,9
6,55
7,6
8,16
9,28
Valor,Contagem
0,8
1,120
2,6
3,1
4,38
5,144
6,238
7,201
8,40
Valor,Contagem
0,28
1,58
2,200
3,3
4,105
5,372
6,14
7,12
8,1
9,2
Valor,Contagem
1,15
2,1
3,4
4,95
5,207
6,267
7,12
8,136
9,59
Valor,Contagem
0,17
1,237
2,76
3,20
4,165
5,27
6,13
7,135
8,20
9,85
Valor,Contagem
0,106
1,48
2,158
3,23
4,68
5,188
6,162
7,36
8,4
9,4
Valor,Contagem
0,1
1,128
2,47
3,39
4,42
5,4
6,72
7,18
8,196
9,250
Valor,Contagem
1,2
2,15
3,272
4,195
5,107
6,52
7,36
8,118
Valor,Contagem
0,45
1,142
2,80
3,2
4,17
5,3
6,27
7,424
8,6
9,51
Valor,Contagem
0,126
1,357
2,155
4,12
5,21
6,9
7,88
8,26
9,1
Valor,Contagem
0,29
1,88
2,397
3,16
4,236
5,3
6,11
7,3
8,9
9,4
Valor,Contagem
0,205
1,31
3,17
4,332
5,5
6,68
7,39
8,8
9,89
Valor,Contagem
0,64
1,300
2,36
3,5
4,21
5,39
6,72
7,7
8,137
9,116
Valor,Contagem
0,2
1,60
2,116
3,180
4,147
6,12
7,11
8,85
9,183
Valor,Contagem
0,35
1,312
2,72
3,5
4,76
5,169
6,12
7,49
8,48
9,17
Valor,Contagem
0,291
1,1
2,88
3,99
4,17
5,112
6,24
7,164
9,1
Valor,Contagem
1,265
2,5
3,8
4,100
6,160
7,14
8,94
9,150
Valor,Contagem
0,9
1,365
2,92
3,4
4,253
5,4
6,5
7,8
8,40
9,16
Valor,Contagem
0,228
1,65
3,60
4,150
6,16
7,277
Valor,Contagem
0,92
2,209
3,113
4,114
5,24
6,15
7,77
8,151
Valor,Contagem
0,181
1,21
2,62
4,78
5,165
