Valor,Contagem
0,72
1,67
2,86
3,92
4,56
5,102
6,53
7,100
8,104
9,64
Valor,Contagem
0,74
1,85
2,68
3,97
4,76
5,77
6,79
7,74
8,101
9,64
Valor,Contagem
0,98
1,64
2,46
3,108
4,98
5,81
6,110
7,55
8,99
9,38
Valor,Contagem
0,83
1,97
2,112
3,44
4,147
5,81
6,63
7,90
8,47
9,32
Valor,Contagem
0,96
1,45
2,82
3,108
4,56
5,69
6,104
7,90
8,50
9,96
Valor,Contagem
0,92
1,108
2,109
3,64
4,96
5,52
6,84
7,46
8,69
9,74
Valor,Contagem
0,163
1,102
2,28
3,74
4,65
5,41
6,79
7,75
8,66
9,103
Valor,Contagem
0,41
1,108
2,128
3,45
4,79
5,92
6,64
7,64
8,108
9,69
Valor,Contagem
0,48
1,65
2,146
3,81
4,72
5,58
6,68
7,110
8,64
9,84
Valor,Contagem
0,104
1,72
2,38
3,123
4,84
5,109
6,68
7,47
8,92
9,60
Valor,Contagem
0,78
1,100
2,55
3,77
4,82
5,130
6,86
7,57
8,68
9,64
Valor,Contagem
0,128
1,73
2,105
3,31
4,91
5,107
6,57
7,72
8,107
9,26
Valor,Contagem
0,82
1,69
2,77
3,68
4,57
5,78
6,123
7,23
8,124
9,95
Valor,Contagem
0,74
1,91
2,99
3,138
4,88
5,56
6,67
7,44
8,72
9,66
Valor,Contagem
0,101
1,82
2,103
3,72
4,58
5,38
6,92
7,95
8,100
9,56
Valor,Contagem
0,84
1,55
2,78
3,97
4,92
5,80
6,92
7,110
8,36
9,72
Valor,Contagem
0,72
1,30
2,65
3,67
4,103
5,160
6,76
7,64
8,93
9,67
Valor,Contagem
0,87
1,96
2,65
3,86
4,104
5,55
6,108
7,98
8,51
9,46
Valor,Contagem
0,77
1,76
2,120
3,107
4,74
5,75
6,78
7,52
8,76
9,60
Valor,Contagem
0,111
1,53
2,48
3,94
4,128
5,120
6,67
7,79
8,67
9,29
Valor,Contagem
0,46
1,59
2,48
3,92
4,59
5,123
6,126
7,118
8,84
9,41
Valor,Contagem
0,63
1,64
2,92
3,75
4,124
5,100
6,40
7,64
8,104
9,71
Valor,Contagem
0,33
1,87
2,112
3,80
4,55
5,69
6,109
7,109
8,83
9,58
Valor,Contagem
0,82
1,66
2,63
3,86
4,90
5,75
6,59
7,93
8,93
9,89
Valor,Contagem
0,83
1,76
2,152
3,39
4,48
5,68
6,113
7,105
8,80
9,33
Valor,Contagem
0,60
1,84
2,44
3,62
4,109
5,70
6,95
7,95
8,88
9,89
Valor,Contagem
0,77
1,48
2,111
3,68
4,116
5,52
6,83
7,72
8,109
9,59
Valor,Contagem
0,44
1,81
2,36
3,62
4,96
5,148
6,53
7,64
8,92
9,120
Valor,Contagem
0,126
1,53
2,51
3,91
4,58
5,85
6,88
7,96
8,87
9,61
Valor,Contagem
0,66
1,83
2,72
3,89
4,91
5,104
6,91
7,86
8,60
9,55
Valor,Contagem
0,46
1,129
2,58
3,76
4,108
5,124
6,48
7,89
8,31
9,87
Valor,Contagem
0,94
1,96
2,61
3,116
4,77
5,40
6,72
7,88
8,84
9,67
Valor,Contagem
0,106
1,104
2,54
3,88
4,61
5,88
6,79
7,95
8,51
9,70
Valor,Contagem
0,35
1,106
2,120
3,76
4,74
5,122
6,40
7,61
8,102
9,60
Valor,Contagem
0,80
1,80
2,70
3,112
4,82
5,88
6,45
7,100
8,68
9,71
Valor,Contagem
0,84
1,107
2,57
3,68
4,112
5,95
6,52
7,68
8,105
9,48
Valor,Contagem
0,77
1,100
2,77
3,116
4,73
5,88
6,53
7,82
8,94
9,36
Valor,Contagem
0,54
1,88
2,124
3,73
4,92
5,60
6,46
7,84
8,64
9,112
Valor,Contagem
0,140
1,32
2,79
3,48
4,112
5,49
6,90
7,108
8,67
9,71
Valor,Contagem
0,84
1,111
2,97
3,50
4,52
5,54
6,56
7,147
8,56
9,90
Valor,Contagem
0,32
1,24
2,70
3,97
4,46
5,115
6,96
7,116
8,88
9,112
Valor,Contagem
0,56
1,57
2,72
3,106
4,137
5,38
6,86
7,48
8,112
9,84
Valor,Contagem
0,124
1,48
2,119
3,58
4,52
5,94
6,52
7,81
8,88
9,81
Valor,Contagem
0,102
1,103
2,46
3,86
4,58
5,85
6,127
7,103
8,50
9,36
Valor,Contagem
0,72
1,110
2,54
3,72
4,64
5,104
6,82
7,88
8,75
9,76
Valor,Contagem
0,95
1,95
2,42
3,71
4,73
5,108
6,107
7,74
8,61
9,70
Valor,Contagem
0,70
1,92
2,88
3,54
4,49
5,96
6,61
7,100
8,61
9,124
Valor,Contagem
0,76
1,60
2,89
3,40
4,75
5,72
6,114
7,121
8,67
9,81
Valor,Contagem
0,86
1,57
2,111
3,39
4,104
5,56
6,69
7,104
8,94
9,76
Valor,Contagem
0,70
1,114
2,87
3,45
4,56
5,93
6,80
7,49
8,66
9,136
Valor,Contagem
0,95
1,101
2,80
3,65
4,93
5,59
6,68
7,59
8,127
9,50
Valor,Contagem
0,94
1,65
2,71
3,91
4,64
5,120
6,58
7,88
8,64
9,80
Valor,Contagem
0,80
1,77
2,80
3,64
4,81
5,72
6,78
7,122
8,67
9,74
Valor,Contagem
0,89
1,45
2,48
3,48
4,63
5,128
6,108
7,74
8,96
9,98
Valor,Contagem
0,138
1,60
2,36
3,132
4,92
5,81
6,59
7,56
8,55
9,87
Valor,Contagem
0,84
1,100
2,73
3,75
4,79
5,80
6,68
7,44
8,101
9,92
Valor,Contagem
0,57
1,72
2,56
3,84
4,99
5,36
6,128
