Valor,Contagem
0,96
1,57
2,58
3,79
4,157
5,105
6,78
7,46
8,76
9,44
Valor,Contagem
0,57
1,95
2,40
3,48
4,97
5,55
6,67
7,44
8,125
9,168
Valor,Contagem
0,75
1,46
2,86
3,109
4,79
5,72
6,27
7,177
8,85
9,40
Valor,Contagem
0,65
1,127
2,88
3,38
4,86
5,37
6,78
7,70
8,116
9,91
Valor,Contagem
0,80
1,112
2,38
3,120
4,23
5,130
6,67
7,75
8,119
9,33
Valor,Contagem
0,26
1,82
2,65
3,117
4,64
5,63
6,44
7,105
8,66
9,164
Valor,Contagem
0,88
1,127
2,116
3,40
4,108
5,73
6,72
7,79
8,80
9,14
Valor,Contagem
0,45
1,34
2,144
3,82
4,59
5,84
6,95
7,124
8,53
9,77
Valor,Contagem
0,88
1,36
2,75
3,64
4,131
5,78
6,184
7,66
8,16
9,57
Valor,Contagem
0,52
1,78
2,136
3,48
4,127
5,103
6,48
7,112
8,55
9,39
Valor,Contagem
0,66
1,92
2,88
3,75
4,59
5,40
6,66
7,126
8,116
9,68
Valor,Contagem
0,73
1,122
2,92
3,174
4,48
5,100
6,76
7,17
8,24
9,70
Valor,Contagem
0,72
1,112
2,48
3,60
4,81
5,58
6,136
7,112
8,36
9,81
Valor,Contagem
0,37
1,114
2,45
3,49
4,55
5,71
6,155
7,103
8,109
9,58
Valor,Contagem
0,133
1,96
2,72
3,20
4,106
5,104
6,117
7,56
8,48
9,44
Valor,Contagem
0,105
1,60
2,116
3,61
4,100
5,83
6,68
7,51
8,63
9,89
Valor,Contagem
0,85
1,118
2,85
3,50
4,84
5,76
6,91
7,105
8,65
9,36
Valor,Contagem
0,44
1,132
2,78
3,52
4,64
5,75
6,118
7,68
8,76
9,88
Valor,Contagem
0,11
1,76
2,174
3,86
4,67
5,145
6,67
7,43
8,68
9,60
Valor,Contagem
0,76
1,161
2,83
3,136
4,110
5,114
6,12
7,39
8,24
9,40
Valor,Contagem
0,49
1,62
2,105
3,173
4,93
5,22
6,84
7,88
8,91
9,28
Valor,Contagem
0,156
1,141
2,37
3,79
4,100
5,49
6,53
7,98
8,47
9,36
Valor,Contagem
0,108
1,88
2,140
3,64
4,74
5,60
6,91
7,30
8,84
9,57
Valor,Contagem
0,57
1,55
2,103
3,108
4,113
5,83
6,50
7,80
8,61
9,86
Valor,Contagem
0,83
1,54
2,123
3,48
4,95
5,58
6,90
7,29
8,155
9,62
Valor,Contagem
0,32
1,92
2,128
3,34
4,125
5,66
6,66
7,70
8,83
9,100
Valor,Contagem
0,96
1,80
2,60
3,75
4,65
5,75
6,125
7,81
8,72
9,65
Valor,Contagem
0,36
1,85
2,86
3,137
4,144
5,66
6,40
7,72
8,18
9,111
Valor,Contagem
0,112
1,26
2,44
3,85
4,135
5,68
6,142
7,69
8,53
9,61
Valor,Contagem
0,75
1,90
2,54
3,90
4,31
5,99
6,48
7,84
8,100
9,125
Valor,Contagem
0,53
1,112
2,53
3,88
4,159
5,34
6,129
7,65
8,71
9,32
Valor,Contagem
0,45
1,103
2,70
3,85
4,105
5,78
6,64
7,90
8,115
9,40
Valor,Contagem
0,93
1,76
2,128
3,92
4,108
5,45
6,56
7,84
8,36
9,79
Valor,Contagem
0,51
1,96
2,22
3,74
4,117
5,60
6,82
7,100
8,106
9,89
Valor,Contagem
0,82
1,125
2,40
3,144
4,56
5,56
6,65
7,74
8,68
9,86
Valor,Contagem
0,84
1,28
2,85
3,137
4,92
5,56
6,64
7,113
8,53
9,84
Valor,Contagem
0,50
1,85
2,73
3,136
4,157
5,31
6,70
7,23
8,50
9,121
Valor,Contagem
0,42
1,154
2,129
3,97
4,73
5,47
6,72
7,52
8,62
9,68
Valor,Contagem
0,88
1,8
2,200
3,111
4,83
5,62
6,64
7,76
8,58
9,46
Valor,Contagem
0,76
1,52
2,72
3,122
4,62
5,67
6,82
7,125
8,99
9,40
Valor,Contagem
0,62
1,139
2,136
3,81
4,28
5,55
6,57
7,68
8,33
9,137
Valor,Contagem
0,97
1,55
2,59
3,68
4,128
5,53
6,84
7,50
8,148
9,54
Valor,Contagem
0,69
1,80
2,55
3,91
4,124
5,54
6,116
7,83
8,73
9,51
Valor,Contagem
0,125
1,84
2,76
3,32
4,135
5,84
6,94
7,36
8,76
9,54
Valor,Contagem
0,108
1,50
2,176
3,76
4,107
5,75
6,24
7,97
8,70
9,14
