Valor,Contagem
0,66
1,72
2,64
3,92
4,80
5,78
6,99
7,92
8,102
9,52
Valor,Contagem
0,75
1,108
2,100
3,88
4,28
5,67
6,84
7,113
8,89
9,44
Valor,Contagem
0,53
1,84
2,48
3,84
4,96
5,105
6,64
7,106
8,52
9,103
Valor,Contagem
0,68
1,84
2,53
3,75
4,76
5,58
6,97
7,92
8,106
9,88
Valor,Contagem
0,58
1,108
2,93
3,142
4,62
5,53
6,56
7,44
8,124
9,54
Valor,Contagem
0,94
1,81
2,80
3,78
4,79
5,90
6,109
7,31
8,72
9,82
Valor,Contagem
0,57
1,65
2,77
3,51
4,76
5,122
6,77
7,50
8,140
9,81
Valor,Contagem
0,55
1,105
2,62
3,62
4,85
5,75
6,87
7,116
8,76
9,74
Valor,Contagem
0,128
1,105
2,48
3,86
4,58
5,63
6,107
7,97
8,76
9,28
Valor,Contagem
0,85
1,96
2,83
3,94
4,36
5,70
6,76
7,92
8,99
9,65
Valor,Contagem
0,52
1,106
2,81
3,53
4,33
5,98
6,84
7,97
8,95
9,96
Valor,Contagem
0,109
1,153
2,45
3,85
4,58
5,112
6,76
7,49
8,25
9,83
Valor,Contagem
0,84
1,51
2,78
3,64
4,144
5,67
6,80
7,80
8,55
9,94
Valor,Contagem
0,33
1,87
2,68
3,56
4,79
5,48
6,112
7,84
8,129
9,100
Valor,Contagem
0,46
1,97
2,56
3,60
4,108
5,80
6,71
7,113
8,103
9,62
Valor,Contagem
0,67
1,100
2,92
3,62
4,115
5,86
6,63
7,76
8,76
9,60
Valor,Contagem
0,108
1,69
2,76
3,105
4,95
5,74
6,58
7,32
8,117
9,61
Valor,Contagem
0,160
1,59
2,88
3,49
4,62
5,57
6,92
7,95
8,39
9,96
Valor,Contagem
0,93
1,85
2,82
3,57
4,61
5,68
6,73
7,80
8,128
9,68
Valor,Contagem
0,64
1,99
2,110
3,100
4,88
5,49
6,82
7,57
8,46
9,101
Valor,Contagem
0,86
1,96
2,92
3,43
4,88
5,76
6,91
7,108
8,68
9,48
Valor,Contagem
0,86
1,53
2,99
3,100
4,96
5,97
6,34
7,76
8,57
9,96
Valor,Contagem
0,144
1,80
2,63
3,56
4,44
5,61
6,100
7,58
8,84
9,107
Valor,Contagem
0,78
1,79
2,72
3,160
4,34
5,78
6,37
7,129
8,60
9,69
Valor,Contagem
0,56
1,108
2,108
3,96
4,96
5,65
6,62
