Valor,Contagem
0,11
1,212
2,12
3,32
4,13
5,24
6,193
7,288
8,2
9,8
Valor,Contagem
0,212
1,24
2,103
3,119
4,44
5,24
6,20
8,66
9,184
Valor,Contagem
0,21
1,52
2,64
3,136
4,304
6,1
7,72
8,82
9,64
Valor,Contagem
0,262
1,9
3,63
4,77
6,261
7,2
9,122
Valor,Contagem
0,30
1,242
2,2
3,172
4,23
5,65
6,94
7,4
8,60
9,104
Valor,Contagem
0,169
1,100
2,3
3,4
4,380
5,9
6,104
7,4
8,1
9,22
Valor,Contagem
1,51
2,24
3,2
4,96
5,344
6,137
7,12
8,4
9,127
Valor,Contagem
0,18
1,302
2,152
3,1
4,44
5,99
6,133
7,47
Valor,Contagem
0,156
1,85
2,268
3,190
5,40
6,28
7,2
8,27
Valor,Contagem
0,12
1,274
2,19
3,1
4,167
5,158
7,2
8,143
9,20
Valor,Contagem
1,141
2,264
3,28
4,31
5,12
6,279
7,31
8,11
Valor,Contagem
0,45
1,17
2,56
3,52
4,21
5,477
6,18
7,33
8,31
9,46
Valor,Contagem
0,81
1,239
2,40
4,25
5,7
6,13
7,11
8,124
9,256
Valor,Contagem
0,32
1,78
2,50
3,190
4,34
5,82
6,41
7,84
9,206
Valor,Contagem
0,445
1,95
2,68
3,39
4,3
5,33
6,17
7,57
8,24
9,14
Valor,Contagem
0,55
1,12
2,4
3,6
4,21
5,83
6,92
7,445
8,43
9,35
Valor,Contagem
0,33
1,99
3,32
4,105
5,9
6,40
7,8
8,354
9,116
Valor,Contagem
0,33
1,222
2,9
3,35
4,3
8,326
9,168
Valor,Contagem
0,124
1,230
2,15
3,26
4,52
5,188
6,66
7,52
8,15
9,29
Valor,Contagem
0,23
1,4
2,140
3,217
4,76
5,36
6,40
7,28
8,159
9,74
Valor,Contagem
0,4
1,156
2,63
3,121
4,79
7,76
8,56
9,241
Valor,Contagem
0,187
1,77
2,8
3,23
4,4
6,301
7,82
8,30
9,84
Valor,Contagem
0,108
1,141
2,260
3,63
4,32
5,8
6,41
7,17
8,60
9,66
Valor,Contagem
0,61
1,7
2,139
3,25
4,220
5,164
6,36
7,58
8,42
9,44
Valor,Contagem
0,8
1,35
2,88
3,96
4,38
5,188
7,257
8,48
9,39
Valor,Contagem
0,95
1,108
2,24
3,55
4,12
5,5
6,130
7,272
8,28
9,68
Valor,Contagem
1,84
2,32
4,228
5,29
6,15
7,12
8,28
9,367
Valor,Contagem
2,25
3,329
5,212
6,56
8,104
9,71
Valor,Contagem
1,92
2,60
4,156
5,384
6,7
7,12
8,7
9,79
Valor,Contagem
0,74
1,28
2,9
3,587
4,8
5,12
6,6
7,21
8,10
9,41
Valor,Contagem
0,120
1,79
2,145
3,4
4,74
5,1
6,159
8,76
9,140
Valor,Contagem
1,11
2,78
4,234
5,145
6,150
7,2
8,94
9,83
Valor,Contagem
0,532
2,8
3,113
5,24
6,12
7,40
8,62
9,4
Valor,Contagem
0,77
1,8
2,49
3,4
4,258
5,11
7,83
8,251
9,56
Valor,Contagem
0,24
1,2
2,156
3,139
4,101
5,7
6,39
7,5
8,82
9,242
Valor,Contagem
0,36
1,9
2,288
3,108
4,22
5,56
6,11
7,30
8,50
9,186
Valor,Contagem
0,333
2,5
3,11
4,11
5,63
6,66
7,182
8,44
9,82
Valor,Contagem
0,31
2,65
3,30
4,28
5,87
6,56
7,4
8,184
9,311
Valor,Contagem
0,3
1,88
2,44
3,107
5,168
6,4
7,7
8,172
9,204
Valor,Contagem
0,165
1,118
2,114
3,13
4,16
5,8
6,36
7,7
9,319
Valor,Contagem
0,197
1,56
2,31
3,9
4,2
5,328
6,61
7,35
8,4
9,72
Valor,Contagem
0,7
1,13
2,44
3,92
4,66
5,2
6,235
7,68
8,189
9,81
Valor,Contagem
0,88
2,108
3,34
4,93
5,44
6,50
7,298
8,74
9,6
Valor,Contagem
0,2
1,16
2,62
3,360
4,196
5,89
6,63
7,1
8,8
Valor,Contagem
0,164
1,36
4,24
6,2
7,288
8,90
9,193
Valor,Contagem
0,73
1,38
2,35
3,4
4,36
5,161
6,35
7,4
8,261
9,149
Valor,Contagem
0,9
1,56
2,500
3,9
4,2
5,29
7,48
8,30
9,113
Valor,Contagem
0,12
2,2
3,39
4,236
5,20
7,358
8,13
9,116
Valor,Contagem
0,79
1,192
2,63
3,9
6,108
7,320
8,25
Valor,Contagem
0,80
1,305
2,65
3,103
4,4
5,83
7,76
8,12
9,69
Valor,Contagem
0,87
1,530
2,10
4,8
5,122
6,4
7,22
8,14
Valor,Contagem
0,16
1,139
3,2
4,53
5,250
6,78
7,64
8,8
9,186
Valor,Contagem
1,4
2,20
3,24
4,36
5,174
6,145
7,279
9,114
Valor,Contagem
0,4
1,28
2,136
3,57
4,40
5,109
6,4
7,52
8,273
9,92
Valor,Contagem
0,3
1,3
2,271
3,20
4,243
5,114
6,58
8,72
9,13
Valor,Contagem
1,7
2,16
3,2
4,461
6,20
7,243
8,7
9,40
Valor,Contagem
0,75
1,3
2,226
3,196
4,72
7,162
8,57
9,6
Valor,Contagem
0,1
1,36
2,392
3,61
4,7
5,8
6,89
7,184
8,4
9,14
Valor,Contagem
0,80
1,3
3,10
4,156
5,39
6,81
7,24
8,3
9,401
Valor,Contagem
0,134
1,4
2,169
3,55
4,84
5,18
6,111
7,95
8,100
9,26
Valor,Contagem
0,127
1,4
2,63
3,386
4,75
5,5
6,3
7,90
8,24
9,20
Valor,Contagem
0,188
1,132
2,8
3,1
4,154
5,4
6,70
7,12
8,28
9,199
Valor,Contagem
0,45
1,7
2,107
3,64
4,16
5,214
6,44
7,15
8,276
9,9
Valor,Contagem
0,212
1,61
2,39
3,26
4,176
5,32
6,34
7,203
8,9
9,4
Valor,Contagem
0,128
1,9
2,43
3,171
4,149
5,35
6,16
7,61
8,170
9,15
Valor,Contagem
0,240
1,121
2,32
3,4
4,119
5,48
6,189
8,21
9,24
Valor,Contagem
1,11
2,3
3,5
4,19
5,243
6,301
7,192
8,3
9,20
Valor,Contagem
0,73
2,37
3,1
4,27
5,232
6,331
7,3
8,59
9,33
Valor,Contagem
0,55
1,4
2,65
4,29
5,2
6,10
7,4
8,80
9,548
Valor,Contagem
0,44
1,29
3,79
4,6
5,4
7,43
8,296
9,295
Valor,Contagem
0,111
1,48
2,43
3,1
4,112
5,24
6,82
7,29
8,288
9,58
Valor,Contagem
0,4
1,40
3,132
4,69
5,2
6,299
7,52
8,200
Valor,Contagem
0,123
1,31
2,23
3,6
4,1
5,2
6,388
7,16
8,165
9,41
Valor,Contagem
0,4
1,129
2,156
3,60
4,68
5,19
6,4
7,193
8,2
9,161
Valor,Contagem
0,149
1,74
2,64
3,112
4,32
5,48
6,13
7,20
9,284
Valor,Contagem
0,32
1,36
2,4
3,72
4,564
5,33
6,1
8,3
9,52
Valor,Contagem
0,100
2,356
3,16
4,3
5,3
6,60
7,208
8,51
9,1
Valor,Contagem
1,93
2,54
3,6
4,163
5,71
6,12
7,356
8,8
9,34
Valor,Contagem
0,38
1,32
2,10
3,23
4,100
5,356
6,11
7,65
8,113
9,49
Valor,Contagem
0,88
1,60
2,18
3,84
4,116
5,215
6,86
7,68
8,34
9,29
Valor,Contagem
0,4
1,60
2,397
3,6
4,124
6,37
8,120
9,48
Valor,Contagem
0,9
1,16
