Valor,Contagem
0,99
1,20
2,143
3,97
4,91
5,58
6,110
7,75
8,80
9,24
Valor,Contagem
0,179
1,63
2,12
3,86
4,113
5,92
6,90
7,63
8,85
9,12
Valor,Contagem
0,51
1,52
2,76
3,125
4,40
5,76
6,108
7,207
8,48
9,14
Valor,Contagem
0,138
1,12
2,63
3,83
4,4
5,164
6,44
7,124
8,46
9,116
Valor,Contagem
0,147
1,16
2,21
3,99
4,16
5,46
6,32
7,116
8,176
9,128
Valor,Contagem
0,72
1,41
2,72
3,110
4,46
5,107
6,83
7,76
8,114
9,74
Valor,Contagem
0,56
1,79
2,56
3,13
4,115
5,7
6,131
7,53
8,126
9,160
Valor,Contagem
0,56
1,135
2,63
3,53
4,201
5,128
6,48
7,64
8,12
9,36
Valor,Contagem
0,4
1,102
2,59
3,86
4,49
5,273
6,10
7,18
8,116
9,79
Valor,Contagem
0,49
1,40
2,83
3,80
4,140
5,30
6,86
7,49
8,113
9,125
Valor,Contagem
0,152
1,32
2,5
3,42
4,16
5,117
6,82
7,95
8,148
9,107
Valor,Contagem
0,55
1,63
2,165
3,44
4,75
5,115
6,133
7,53
8,44
9,49
Valor,Contagem
0,115
1,132
2,47
3,150
4,16
5,70
6,60
7,86
8,112
9,8
Valor,Contagem
0,143
1,172
2,99
3,128
4,39
5,96
6,32
7,32
8,25
9,32
Valor,Contagem
0,72
1,147
2,52
3,37
4,43
5,53
6,144
7,96
8,118
9,32
Valor,Contagem
0,213
1,72
2,22
3,30
4,48
5,125
6,20
7,28
8,156
9,82
Valor,Contagem
0,29
1,107
2,72
3,153
4,172
5,100
6,33
7,80
8,16
9,33
Valor,Contagem
0,65
1,9
2,108
3,188
4,68
5,50
6,53
7,115
8,82
9,57
Valor,Contagem
0,60
1,34
2,60
3,52
4,28
5,58
6,56
7,152
8,71
9,226
Valor,Contagem
0,88
1,59
2,22
3,129
4,128
5,127
6,26
7,52
8,107
9,58
Valor,Contagem
0,171
1,121
2,103
3,74
4,10
5,71
6,32
7,11
8,77
9,127
Valor,Contagem
0,61
1,99
2,67
3,86
4,94
5,21
6,77
7,72
8,93
9,125
Valor,Contagem
0,67
1,172
2,32
3,5
4,144
5,81
6,34
7,120
8,92
9,49
Valor,Contagem
0,85
1,189
2,8
3,42
4,36
5,96
6,178
7,88
8,56
9,17
Valor,Contagem
0,166
1,152
2,76
3,86
4,72
5,61
6,69
7,38
8,15
9,60
Valor,Contagem
0,58
1,23
2,176
3,48
4,97
5,72
6,89
7,61
8,55
9,116
Valor,Contagem
0,64
1,144
2,20
3,70
4,37
5,152
6,60
7,62
8,156
9,32
Valor,Contagem
0,132
1,102
2,56
3,57
4,20
5,183
6,46
7,52
8,57
9,92
Valor,Contagem
0,12
1,128
2,27
3,69
4,93
5,184
6,63
7,52
8,24
9,144
Valor,Contagem
0,4
1,152
2,44
3,77
4,167
5,110
6,76
7,11
8,117
9,38
Valor,Contagem
0,109
1,124
2,13
3,11
4,86
5,8
6,67
7,73
8,86
9,219
Valor,Contagem
0,100
1,21
2,180
3,64
4,70
5,122
6,85
7,104
8,15
9,33
Valor,Contagem
0,61
1,104
2,100
3,93
4,52
5,65
6,78
7,190
8,33
9,18
Valor,Contagem
0,80
1,189
2,166
3,146
4,59
5,38
6,15
7,36
8,40
9,27
Valor,Contagem
0,32
1,87
2,132
3,150
4,35
5,24
6,48
7,13
8,158
9,116
Valor,Contagem
0,147
1,123
2,41
3,141
4,27
5,45
6,153
7,63
8,15
9,41
Valor,Contagem
0,55
1,104
2,19
3,108
4,111
5,158
6,49
7,50
8,52
9,91
Valor,Contagem
0,3
1,214
2,52
3,42
4,49
5,53
6,48
7,50
8,278
9,8
Valor,Contagem
0,178
1,215
2,18
3,91
4,144
5,16
6,32
7,36
8,5
9,61
Valor,Contagem
0,44
1,41
2,125
3,81
4,63
5,88
6,85
7,60
8,80
9,130
Valor,Contagem
0,25
1,45
2,100
3,44
4,244
5,68
6,33
