Valor,Contagem
0,99
1,64
2,161
3,60
4,60
5,100
6,66
7,92
8,37
9,56
Valor,Contagem
0,64
1,101
2,57
3,137
4,103
5,24
6,79
7,140
8,57
9,33
Valor,Contagem
0,41
1,45
2,86
3,98
4,81
5,205
6,45
7,56
8,47
9,91
Valor,Contagem
0,108
1,56
2,76
3,93
4,104
5,49
6,36
7,99
8,76
9,100
Valor,Contagem
0,68
1,106
2,64
3,111
4,52
5,40
6,70
7,77
8,114
9,95
Valor,Contagem
0,91
1,79
2,60
3,45
4,57
5,59
6,26
7,219
8,78
9,83
Valor,Contagem
0,51
1,71
2,126
3,56
4,68
5,63
6,117
7,69
8,99
9,76
Valor,Contagem
0,68
1,81
2,56
3,40
4,48
5,68
6,103
7,134
8,83
9,116
Valor,Contagem
0,153
1,79
2,96
3,39
4,56
5,50
6,87
7,41
8,104
9,91
Valor,Contagem
0,107
1,59
2,88
3,61
4,132
5,87
6,87
7,113
8,26
9,37
Valor,Contagem
0,60
1,88
2,72
3,111
4,84
5,72
6,90
7,48
8,44
9,127
Valor,Contagem
0,66
1,83
2,36
3,75
4,104
5,50
6,111
7,62
8,107
9,104
Valor,Contagem
0,84
1,19
2,46
3,80
4,44
5,161
6,136
7,90
8,111
9,24
Valor,Contagem
0,71
1,34
2,88
3,46
4,90
5,123
6,97
7,57
8,80
9,109
Valor,Contagem
0,73
1,102
2,69
3,52
4,92
5,57
6,46
7,64
8,124
9,118
Valor,Contagem
0,96
1,76
2,103
3,68
4,65
5,69
6,51
7,74
8,108
9,87
Valor,Contagem
0,101
1,51
2,44
3,36
4,145
5,89
6,75
7,67
8,48
9,140
Valor,Contagem
0,31
1,33
2,96
3,57
4,107
5,76
6,48
7,140
8,133
9,75
Valor,Contagem
0,111
1,97
2,38
3,74
4,48
5,90
6,83
7,47
8,118
9,91
Valor,Contagem
0,93
1,160
2,81
3,92
4,116
5,66
6,54
7,40
8,38
9,55
Valor,Contagem
0,68
1,67
2,81
3,48
4,86
5,52
6,139
7,107
8,84
9,64
Valor,Contagem
0,104
1,51
2,58
3,96
4,86
5,44
6,65
7,64
8,125
9,103
Valor,Contagem
0,68
1,56
2,49
3,69
4,125
5,70
6,64
7,136
8,126
9,32
Valor,Contagem
0,121
1,79
2,112
3,75
4,90
5,56
6,80
7,53
8,91
9,38
Valor,Contagem
0,53
1,130
2,97
3,101
4,45
5,48
6,57
7,78
8,72
9,115
Valor,Contagem
0,104
1,36
2,112
3,69
4,49
5,84
6,112
7,61
8,57
9,112
Valor,Contagem
0,47
1,74
2,46
3,101
4,90
5,110
6,97
7,124
8,53
9,53
Valor,Contagem
0,21
1,73
2,101
3,36
4,110
5,47
6,136
7,64
8,88
9,120
Valor,Contagem
