Valor,Contagem
0,57
1,69
2,120
3,56
4,32
5,151
6,86
7,52
8,148
9,26
Valor,Contagem
0,60
1,49
2,122
3,95
4,63
5,47
6,79
7,158
8,87
9,37
Valor,Contagem
0,104
1,73
2,64
3,121
4,90
5,64
6,71
7,89
8,65
9,54
Valor,Contagem
0,56
1,67
2,73
3,82
4,53
5,94
6,93
7,105
8,43
9,130
Valor,Contagem
0,87
1,40
2,69
3,26
4,62
5,153
6,110
7,104
8,32
9,114
Valor,Contagem
0,36
1,67
2,56
3,60
4,78
5,85
6,68
7,145
8,65
9,135
Valor,Contagem
0,50
1,84
2,122
3,21
4,36
5,121
6,86
7,104
8,63
9,108
Valor,Contagem
0,61
1,88
2,133
3,52
4,80
5,73
6,43
7,84
8,80
9,100
Valor,Contagem
0,35
1,41
2,81
3,78
4,94
5,88
6,186
7,72
8,78
9,42
Valor,Contagem
0,46
1,56
2,188
3,72
4,139
5,111
6,45
7,54
8,63
9,22
Valor,Contagem
0,57
1,70
2,104
3,29
4,97
5,136
6,32
7,32
8,59
9,180
Valor,Contagem
0,64
1,90
2,124
3,64
4,96
5,52
6,96
7,48
8,88
9,75
Valor,Contagem
0,44
1,89
2,68
3,72
4,88
5,93
6,68
7,50
8,120
9,103
Valor,Contagem
0,53
1,109
2,80
3,58
4,52
5,89
6,79
7,86
8,92
9,96
Valor,Contagem
0,81
1,48
2,100
3,41
4,91
5,76
6,96
7,63
8,93
9,107
Valor,Contagem
0,118
1,36
2,73
3,113
4,92
5,107
6,113
7,28
8,30
9,85
Valor,Contagem
0,58
1,48
2,120
3,170
4,113
5,82
6,64
7,41
8,28
9,71
Valor,Contagem
0,172
1,96
2,66
3,100
4,81
5,55
6,65
7,48
8,85
9,28
Valor,Contagem
0,52
1,141
2,45
3,44
4,109
5,75
6,74
7,47
8,118
9,91
Valor,Contagem
0,24
1,32
2,40
3,93
4,55
5,116
6,135
7,172
8,18
9,112
Valor,Contagem
0,123
1,44
2,57
3,44
4,71
5,45
6,78
7,153
8,89
9,92
Valor,Contagem
0,82
1,48
2,47
3,109
4,46
5,122
6,133
7,82
8,76
9,52
Valor,Contagem
0,66
1,84
2,48
3,128
4,96
5,62
6,102
7,117
8,56
9,36
Valor,Contagem
0,96
1,110
2,36
3,84
4,57
5,87
6,54
7,107
8,94
9,71
Valor,Contagem
0,101
1,56
2,126
3,28
4,63
5,99
6,80
7,52
8,91
9,100
Valor,Contagem
0,73
1,142
2,102
3,62
4,139
5,21
6,64
7,80
8,39
9,73
Valor,Contagem
0,136
1,72
2,66
3,36
4,72
5,51
6,92
7,150
8,72
9,50
Valor,Contagem
0,43
1,132
2,72
3,100
4,48
5,46
6,84
7,84
8,125
9,61
Valor,Contagem
0,88
1,65
2,48
3,98
4,123
5,45
6,51
7,112
8,84
9,82
Valor,Contagem
0,91
1,44
2,96
3,59
4,82
5,74
6,124
7,113
8,69
9,44
Valor,Contagem
0,25
1,71
2,70
3,122
4,30
5,56
6,96
7,110
8,172
9,44
Valor,Contagem
0,100
1,78
2,97
3,100
4,83
5,77
6,75
7,82
8,46
9,59
Valor,Contagem
0,101
1,42
2,129
3,70
4,36
5,61
6,101
7,44
8,116
9,95
Valor,Contagem
0,46
1,217
2,88
3,65
4,84
5,70
6,60
7,60
8,53
9,53
Valor,Contagem
0,48
1,32
2,53
3,84
4,132
5,93
6,140
7,104
8,24
9,85
Valor,Contagem
0,72
1,128
2,54
3,62
4,56
5,86
6,121
7,72
8,80
9,65
Valor,Contagem
0,24
1,71
2,88
3,92
4,85
5,45
6,144
7,118
8,47
9,80
Valor,Contagem
0,75
1,68
2,56
3,90
4,39
5,168
6,123
7,96
8,56
9,25
Valor,Contagem
0,57
1,71
2,107
3,105
4,46
5,128
6,31
7,112
8,88
9,52
Valor,Contagem
0,89
1,68
2,41
3,122
4,125
5,132
6,55
7,39
8,48
9,76
Valor,Contagem
0,110
1,65
2,63
3,146
4,70
5,94
6,55
7,83
8,30
9,80
Valor,Contagem
0,57
1,102
2,100
3,42
4,81
5,100
6,104
7,66
8,50
9,93
Valor,Contagem
0,151
1,100
2,115
3,49
4,48
5,68
6,115
7,48
8,45
9,56
Valor,Contagem
0,70
1,98
2,103
3,69
4,89
5,95
6,36
7,73
8,68
9,96
Valor,Contagem
0,47
1,76
2,78
3,58
4,64
5,132
6,93
7,39
8,120
9,88
Valor,Contagem
0,93
1,6
2,108
3,74
4,60
5,96
6,93
7,80
8,102
9,84
Valor,Contagem
0,25
1,84
2,37
3,93
4,108
5,148
6,60
7,68
8,89
9,82
Valor,Contagem
0,76
1,55
2,109
3,106
4,94
5,57
6,87
7,64
8,59
9,89
Valor,Contagem
0,124
1,28
2,59
3,59
4,72
5,31
6,172
7,44
8,151
9,56
Valor,Contagem
0,63
1,19
2,45
3,112
4,107
5,158
6,56
7,97
8,38
9,101
Valor,Contagem
0,56
1,35
2,145
3,137
4,108
5,123
6,25
7,58
8,62
9,47
Valor,Contagem
0,133
1,68
2,56
3,59
4,64
5,27
6,65
7,79
8,155
9,90
Valor,Contagem
0,109
1,112
2,60
3,117
4,45
5,43
6,73
7,76
8,55
9,105
Valor,Contagem
0,75
1,45
2,86
3,136
4,101
5,118
6,64
7,54
8,26
9,92
Valor,Contagem
0,68
1,50
2,89
3,67
4,93
5,24
6,130
7,80
8,128
9,66
Valor,Contagem
0,64
1,55
2,87
3,56
4,68
5,84
6,45
7,125
8,109
9,104
Valor,Contagem
0,96
1,82
2,52
3,54
4,94
5,75
6,93
7,95
8,139
9,17
Valor,Contagem
0,68
1,127
2,92
3,63
4,76
5,69
6,82
7,121
8,35
9,63
Valor,Contagem
0,47
1,102
2,104
3,51
4,45
5,49
6,109
7,139
8,83
9,68
Valor,Contagem
0,64
1,103
2,65
3,96
4,45
5,88
6,102
7,52
8,134
9,47
Valor,Contagem
0,53
1,75
2,86
3,82
4,75
5,125
6,97
7,46
8,84
9,73
Valor,Contagem
0,150
1,28
2,79
3,164
4,40
5,70
6,84
7,76
8,41
9,65
Valor,Contagem
0,69
1,76
2,64
3,65
4,97
5,61
6,171
7,33
8,72
9,87
Valor,Contagem
0,51
1,55
2,68
3,46
4,61
5,95
6,84
7,96
8,76
9,164
Valor,Contagem
0,98
1,81
2,100
3,45
4,100
5,44
6,64
7,84
8,52
9,126
Valor,Contagem
0,60
1,117
2,69
3,98
4,72
5,140
6,34
7,64
8,50
9,91
Valor,Contagem
0,48
1,80
2,56
3,28
4,183
5,40
6,30
7,119
8,38
9,174
Valor,Contagem
0,139
1,51
2,33
3,125
4,17
5,116
6,53
7,119
8,86
9,57
Valor,Contagem
0,78
1,96
2,77
3,152
4,56
5,122
6,95
7,66
8,36
9,19
Valor,Contagem
0,40
1,205
2,97
3,143
4,30
5,42
6,71
7,55
8,47
9,66
Valor,Contagem
0,78
1,43
2,55
3,152
4,55
5,178
6,32
7,72
8,89
9,42
Valor,Contagem
0,51
1,73
2,73
3,99
4,74
5,103
6,51
7,81
8,142
9,49
Valor,Contagem
0,106
1,53
2,65
3,90
4,73
5,95
6,122
7,78
8,73
9,40
Valor,Contagem
0,32
1,47
2,117
3,112
4,31
5,115
6,112
7,49
8,107
9,76
Valor,Contagem
0,74
1,48
2,43
3,61
4,64
5,136
6,72
7,134
8,69
9,95
Valor,Contagem
0,72
1,183
2,88
3,128
4,58
5,42
6,40
7,64
8,91
9,31
Valor,Contagem
0,105
1,100
2,98
3,79
4,24
5,70
6,54
7,78
8,128
9,60
Valor,Contagem
0,80
1,132
2,42
3,50
4,43
5,99
6,103
7,93
8,44
9,109
Valor,Contagem
0,22
1,48
2,77
3,66
4,78
5,164
6,96
7,32
8,76
9,136
Valor,Contagem
0,140
1,40
2,42
3,120
4,60
5,51
6,30
7,50
8,157
9,107
Valor,Contagem
0,149
1,39
2,16
3,146
4,73
5,76
6,80
7,78
8,69
9,70
Valor,Contagem
0,41
1,77
2,72
3,44
4,109
5,106
6,120
7,93
8,51
9,82
Valor,Contagem
0,40
1,116
2,92
3,86
4,104
5,44
6,32
7,62
8,152
9,67
Valor,Contagem
0,61
1,94
2,86
3,71
4,91
5,69
6,144
7,97
8,48
9,36
Valor,Contagem
0,58
1,98
2,102
3,38
4,60
5,60
6,80
7,112
8,71
9,117
Valor,Contagem
0,92
1,104
2,39
3,81
4,52
5,74
6,85
7,57
8,35
9,176
Valor,Contagem
0,156
1,68
2,31
3,43
4,100
5,81
6,100
7,50
8,68
9,98
Valor,Contagem
0,80
1,84
2,60
3,48
4,131
5,80
6,214
7,27
8,30
9,41
Valor,Contagem
0,14
1,84
2,80
3,143
4,70
5,56
6,85
7,36
8,88
9,139
Valor,Contagem
0,172
1,57
2,64
3,78
4,83
5,60
6,148
7,40
8,67
9,28
Valor,Contagem
0,174
1,36
2,74
3,66
4,77
5,51
6,53
7,89
8,78
9,97
Valor,Contagem
0,44
1,168
2,27
3,72
4,72
5,164
6,38
7,99
8,80
9,32
Valor,Contagem
0,72
1,83
2,144
3,47
4,81
5,89
6,29
7,75
8,94
9,82
Valor,Contagem
0,119
1,89
2,62
3,71
4,48
5,108
6,96
7,70
8,117
9,15
Valor,Contagem
0,71
1,51
2,36
3,140
4,66
5,50
6,87
7,80
8,152
9,63
Valor,Contagem
0,51
1,159
2,44
3,124
4,94
5,51
6,103
7,62
8,52
9,56
Valor,Contagem
0,75
1,84
2,76
3,41
4,113
5,154
6,54
7,65
8,69
9,65
Valor,Contagem
0,71
1,85
2,69
3,85
4,114
5,71
6,70
7,60
8,101
9,69
Valor,Contagem
0,95
1,88
2,95
3,44
4,32
5,136
6,112
7,94
8,16
9,84
Valor,Contagem
0,63
1,84
2,112
3,44
4,112
5,74
6,94
7,50
8,72
9,92
Valor,Contagem
0,64
1,163
2,42
3,62
4,72
5,104
6,64
7,120
8,53
9,51
Valor,Contagem
0,36
1,80
2,59
3,41
4,117
5,51
6,147
7,74
8,81
9,110
Valor,Contagem
0,53
1,56
2,108
3,85
4,41
5,64
6,150
7,99
8,85
9,53
Valor,Contagem
0,72
1,61
2,120
3,77
4,68
5,84
6,64
7,69
8,134
9,48
Valor,Contagem
0,88
1,60
2,104
3,96
4,87
5,14
6,44
7,96
8,131
9,75
Valor,Contagem
0,59
1,38
2,24
3,68
4,85
5,124
6,97
7,111
8,33
9,157
Valor,Contagem
0,76
1,80
2,46
3,94
4,54
5,111
6,88
7,103
8,81
9,63
Valor,Contagem
0,102
1,52
2,60
3,42
4,103
5,76
6,128
7,42
8,130
9,61
Valor,Contagem
0,60
1,164
2,52
3,81
4,24
5,143
6,118
7,44
8,42
9,68
Valor,Contagem
0,70
1,68
2,54
3,60
4,88
5,187
6,53
7,133
8,63
9,19
Valor,Contagem
0,106
1,167
2,86
3,43
4,50
5,98
6,20
7,75
8,65
9,86
Valor,Contagem
0,18
1,56
2,106
3,170
4,82
5,97
6,73
7,54
8,89
9,50
Valor,Contagem
0,12
1,88
2,32
3,150
4,85
5,108
6,58
7,91
8,108
9,63
Valor,Contagem
0,76
1,52
2,50
3,116
4,77
5,101
6,68
7,83
8,105
9,66
Valor,Contagem
0,43
1,133
2,92
3,91
4,86
5,85
6,27
7,80
8,78
9,80
Valor,Contagem
0,66
1,104
2,52
3,119
4,70
5,71
6,59
7,114
8,47
9,96
Valor,Contagem
0,55
1,51
2,48
3,95
4,56
5,48
6,136
7,139
8,76
9,92
Valor,Contagem
0,107
1,106
2,97
3,91
4,68
5,75
6,52
7,32
8,43
9,125
Valor,Contagem
0,48
1,144
2,96
3,102
4,68
5,43
6,40
7,121
8,60
9,75
Valor,Contagem
0,36
1,37
2,77
3,92
4,123
5,58
6,86
7,88
8,36
9,163
Valor,Contagem
0,65
1,100
2,20
3,128
4,69
5,89
6,32
7,111
8,88
9,93
Valor,Contagem
0,37
1,103
2,115
3,94
4,93
5,12
6,130
7,42
8,80
9,89
Valor,Contagem
0,99
1,44
2,33
3,36
4,136
5,177
6,56
7,72
8,83
9,60
Valor,Contagem
0,52
1,65
2,50
3,92
4,209
5,73
6,109
7,41
8,20
9,84
Valor,Contagem
0,128
1,65
2,106
3,31
4,57
5,132
6,21
7,96
8,54
9,106
Valor,Contagem
0,115
1,87
2,77
3,42
4,51
5,176
6,80
