Valor,Contagem
0,52
2,264
3,285
5,20
6,12
7,109
8,33
9,20
Valor,Contagem
0,185
1,223
2,6
3,28
4,211
7,6
8,49
9,88
Valor,Contagem
0,280
1,67
2,57
3,110
5,189
6,56
7,4
8,21
9,12
Valor,Contagem
0,79
1,12
2,306
3,8
4,4
5,5
7,205
8,60
9,117
Valor,Contagem
0,43
1,34
3,58
4,77
5,32
6,388
7,118
8,46
Valor,Contagem
0,24
1,43
2,204
3,46
4,4
5,43
6,70
7,243
8,114
9,6
Valor,Contagem
0,252
1,67
2,43
3,68
4,162
5,28
6,41
7,118
8,16
9,2
Valor,Contagem
0,2
1,4
2,3
3,199
4,383
5,25
6,4
7,32
9,145
Valor,Contagem
0,65
1,338
2,10
3,261
4,20
5,1
6,2
7,6
8,5
9,88
Valor,Contagem
0,34
1,26
3,13
4,46
5,32
6,32
7,267
8,343
9,4
Valor,Contagem
0,72
1,38
2,25
3,15
4,26
5,180
6,152
7,184
9,104
Valor,Contagem
0,81
1,10
2,202
3,16
4,7
5,69
6,200
7,109
8,73
9,28
Valor,Contagem
0,46
1,163
2,72
3,20
4,55
5,295
6,29
7,20
8,68
9,28
Valor,Contagem
0,8
1,2
2,8
3,55
4,370
5,8
6,306
7,33
8,7
Valor,Contagem
0,184
2,12
3,185
5,18
6,4
7,140
8,252
Valor,Contagem
1,195
2,2
3,64
4,12
5,2
6,9
7,59
8,450
9,4
Valor,Contagem
0,40
1,124
2,6
3,69
4,168
6,196
7,5
8,188
Valor,Contagem
0,146
1,77
2,36
3,4
4,307
5,2
6,10
7,78
9,137
Valor,Contagem
0,4
1,121
2,332
3,116
6,4
8,19
9,200
Valor,Contagem
1,80
2,40
3,9
4,11
5,285
6,102
7,85
8,72
9,111
Valor,Contagem
0,24
1,107
2,48
3,146
4,1
5,93
6,166
7,22
8,150
9,40
Valor,Contagem
0,188
1,244
2,43
3,65
4,42
5,23
6,28
7,120
8,44
Valor,Contagem
0,51
1,112
2,25
3,106
4,35
5,320
6,24
7,8
8,114
Valor,Contagem
0,45
1,96
2,52
3,32
4,140
5,214
6,8
7,16
8,122
9,69
Valor,Contagem
0,12
1,22
2,199
3,2
4,136
5,60
6,20
7,153
8,17
9,175
Valor,Contagem
0,2
1,62
2,86
3,3
4,37
5,263
6,80
7,140
9,123
Valor,Contagem
0,107
1,83
2,52
3,21
4,175
7,24
8,5
9,329
Valor,Contagem
0,446
1,111
2,60
3,96
4,21
5,4
6,8
7,28
8,22
Valor,Contagem
0,26
1,15
2,296
3,8
4,13
6,200
7,198
8,12
9,28
Valor,Contagem
0,30
1,31
2,60
3,2
4,1
5,13
6,324
7,10
8,88
9,236
Valor,Contagem
0,110
1,57
2,5
3,116
4,144
5,141
6,68
7,80
8,12
9,62
Valor,Contagem
0,536
1,91
2,15
3,24
4,5
5,32
6,31
7,18
8,44
